;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SAME;SAME;DELETE;SAME;SAME;SAME;SAME;SAME;NEW;RENAME;DELETE;NEW;RENAME;NEW;SAME;NEW;RENAME;NEW;Rename;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE
;#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Prev Divisor;New Divisor;t-1 IV;Prev t0 IV;t0 IV   SOD;Prev t0 IV unround;t0 IV unround;Prev Mkt Cap;New Mkt Cap;Prev Nr of comp;Nr of comp;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
;#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;;Divisor;t-1 IV;;t0 IV;;t0 IV unround;;Mkt Cap;;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
;QS0011256250;06-05-25;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;;3408.48;;3432.61;;3432.612553;;;;;;;QS0011256235;;;5.036662125;;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011256243;06-05-25;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;;3126.33;;3148.46;;3148.46207;;;;;;;QS0011256235;;;;3.525663487;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011256235;06-05-25;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;;885.962565;2121.04;;2136.06;;2136.055791;;1892465.468;;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
;QS0011256227;06-05-25;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;;3321.21;;3333.68;;3333.682118;;;;;;;QS0011256201;;;0.680472027;;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011256219;06-05-25;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;;2929.47;;2938.98;;2938.976891;;;;;;;QS0011256201;;;;0.476330419;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011256201;06-05-25;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;;818.1145059;2010.42;;2013.92;;2013.922853;;1647619.5;;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
;QS0011250956;06-05-25;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;;1986.53;;1986.53;;1986.532546;;;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011250949;06-05-25;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;;1959.63;;1959.63;;1959.634006;;;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011250931;06-05-25;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;;76177.38203;1192.46;;1192.46;;1192.459362;;90838432.42;;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
;QS0011250923;06-05-25;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;;2524.03;;2524.12;;2524.124801;;;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011250915;06-05-25;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;;2190.74;;2188.84;;2188.835567;;;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011250907;06-05-25;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;;808.1924642;1534.57;;1529.07;;1529.072774;;1235785.093;;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
;QS0011250899;06-05-25;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;;3166.29;;3177.39;;3177.393675;;;;;;;QS0011250873;;;0.653842796;;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011250881;06-05-25;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;;2837.11;;2845.95;;2845.948219;;;;;;;QS0011250873;;;;0.457689957;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011250873;06-05-25;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;;864.8156885;1909;;1912.73;;1912.729443;;1654158.431;;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
;QS0011249503;06-05-25;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;;8178087.985;1164.12;;1169.64;;1169.642857;;9565442197;;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011249495;06-05-25;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;;1851.49;;1860.28;;1860.283101;;;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011249248;06-05-25;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;;82819753.5;1397.23;;1387.51;;1387.507087;;1.14913E+11;;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
;QS0011249230;06-05-25;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;;2303.68;;2287.65;;2287.653947;;;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011227186;06-05-25;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;;1033.07;;1035.74;;1035.735176;;;;;;;QS0011040902;;;1.698895781;;FR001400TL40;ECB;TR1;Indices;;;;;0;
;QS0011227178;06-05-25;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;;990.4;;992.82;;992.8172937;;;;;;;QS0011040902;;;;1.274171835;FR001400TL40;ECB;TR1;Indices;;;;;0;
;QS0011225420;06-05-25;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;;5169.09;;5187.9;;5187.903886;;;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011225404;06-05-25;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;;6963.79;;7018.27;;7018.274894;;;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011225396;06-05-25;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;;2141.49;;2145.74;;2145.737368;;;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011225370;06-05-25;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;;17805856.71;38507.79;;38519.48;;38519.47706;;6.85872E+11;;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225222;06-05-25;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;;1420306.521;7960.02;;8005.25;;8005.245146;;11369901882;;6;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225214;06-05-25;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;;32460959.76;1955.9;;1941.83;;1941.828363;;63033612347;;16;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225206;06-05-25;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;;16179252.36;4826.64;;4847.84;;4847.836822;;78434375329;;14;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225198;06-05-25;;QS0011225198;BE;BETEP;BEL Telecommunications;XBRU;;11082413.98;347.86;;344.96;;344.9591766;;3822980401;;4;EUR;1;;;QS0011016860;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225180;06-05-25;;QS0011225180;BE;BEFIP;BEL Financials;XBRU;;146236057.4;1054.74;;1056.09;;1056.091533;;1.54439E+11;;15;EUR;1;;;QS0011016902;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225172;06-05-25;;QS0011225172;BE;BETP;BEL Technology;XBRU;;2982166.959;1314.96;;1299.43;;1299.429563;;3875115908;;6;EUR;1;;;QS0011016936;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225164;06-05-25;;QS0011225164;BE;BEUTP;BEL Utilities;XBRU;;52297366.16;1039.8;;1045.07;;1045.068499;;54654329936;;3;EUR;1;;;QS0011019005;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225156;06-05-25;;QS0011225156;BE;BECSP;BEL Consumer Staples;XBRU;;49059155.57;3105.94;;3112.43;;3112.432985;;1.52693E+11;;13;EUR;1;;;QS0011016829;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225065;06-05-25;;QS0011225065;PT;PTTEP;PSI Technology;XLIS;;361417.1846;925.14;;923.94;;923.9383395;;333927193.4;;2;EUR;1;;QS0011016688;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225057;06-05-25;;QS0011225057;PT;PTFIP;PSI Financials;XLIS;;47303899.08;186.79;;184.75;;184.7491992;;8739357472;;2;EUR;1;;QS0011016662;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225040;06-05-25;;QS0011225040;PT;PTUTP;PSI Utilities;XLIS;;25186964.5;948.24;;964.23;;964.2263592;;24285935077;;3;EUR;1;;QS0011016647;;;;;ECB;EU Price;Indices;;;;;0;
