#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
NLIX00005693;05-05-2025;;NLIX00005693;NL;MFGBG;Euronext MTS France Government Bill GR;XAMS;;1043.39;1043.38;1043.37697761;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00005685;05-05-2025;;NLIX00005685;NL;MIGBG;Euronext MTS Italy Government Bill GR;XAMS;;1066.60;1066.58;1066.57565744;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00005677;05-05-2025;;NLIX00005677;NL;MEGBG;Euronext MTS Euro Government Bill GR;XAMS;;1050.69;1050.65;1050.64954319;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00005669;05-05-2025;;NLIX00005669;NL;MGILG;EN MTS Euro Gov Inflation-Linked GR;XAMS;;1436.15;1433.71;1433.70627421;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00005370;05-05-2025;;NLIX00005370;NL;MEUBG;Euronext MTS EGB Broad and EU GR;XAMS;;1063.91;1059.53;1059.53092247;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00002922;05-05-2025;;NLIX00002922;NL;MEEUG;Euronext MTS EU GR;XAMS;;1052.99;1048.63;1048.6315723;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000892;05-05-2025;;NLIX00000892;NL;MEPTG;Euronext MTS EGB Portugal GR;XAMS;;1953.36;1945.48;1945.48234815;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000876;05-05-2025;;NLIX00000876;NL;MENLG;Euronext MTS EGB The Netherlands GR;XAMS;;1080.38;1073.45;1073.44606676;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000850;05-05-2025;;NLIX00000850;NL;MEIRG;Euronext MTS EGB Ireland GR;XAMS;;1408.03;1401.34;1401.3439022;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000835;05-05-2025;;NLIX00000835;NL;MESUG;Euronext MTS EGB Finland GR;XAMS;;1059.14;1053.38;1053.37965218;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000819;05-05-2025;;NLIX00000819;NL;MEBEG;Euronext MTS EGB Belgium GR;XAMS;;1226.21;1219.35;1219.35265985;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000793;05-05-2025;;NLIX00000793;NL;MEATG;Euronext MTS EGB Austria GR;XAMS;;1110.53;1104.84;1104.84465286;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000678;05-05-2025;;NLIX00000678;NL;MIG25;Euronext MTS EGB Italy 25+ Year GR;XAMS;;1999.63;1986.77;1986.76781821;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000652;05-05-2025;;NLIX00000652;NL;MI15G;Euronext MTS EGB Italy 15-25 Year GR;XAMS;;1933.00;1924.75;1924.74902069;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000637;05-05-2025;;NLIX00000637;NL;MI10G;Euronext MTS EGB Italy 10-15 Year GR;XAMS;;1869.76;1863.75;1863.74989573;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000611;05-05-2025;;NLIX00000611;NL;MI7G;Euronext MTS EGB Italy 7-10 Year GR;XAMS;;1756.13;1751.46;1751.45559843;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000595;05-05-2025;;NLIX00000595;NL;MI5G;Euronext MTS EGB Italy 5-7 Year GR;XAMS;;1648.86;1645.23;1645.23248493;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
NLIX00000579;05-05-2025;;NLIX00000579;NL;MI3G;Euronext MTS EGB Italy 3-5 Year GR;XAMS;;1455.28;1453.09;1453.08580291;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0;
