#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;06-05-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3432.61;3425.01;3425.00821668;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;06-05-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3148.46;3139.26;3139.26006548;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;06-05-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2136.06;2126.29;2126.2870816;1883810.75670543;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;06-05-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3333.68;3338.41;3338.40747745;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;06-05-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;2938.98;2942.84;2942.84486159;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;06-05-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.114505899359;2013.92;2016.1;2016.09703527;1649398.22985347;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;06-05-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1986.53;1992.58;1992.57871383;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;06-05-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1959.63;1965.6;1965.59830674;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;06-05-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1192.46;1196.09;1196.08870646;91114906.339321;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;06-05-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2524.12;2528.36;2528.36034969;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;06-05-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2188.84;2192.51;2192.50849177;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;06-05-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;808.192464210226;1529.07;1531.64;1531.63859902;1237858.7736175;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
