#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;05-05-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3336.22;3408.48;3408.4806829;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;05-05-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3060.05;3126.33;3126.32782769;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;05-05-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2076.07;2121.04;2121.03894353;1879161.1028365;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;05-05-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3277.40;3321.21;3321.21192734;;;;;QS0011256201;;;4.05035137392813;;DE0005552004 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011256219;05-05-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;2891.43;2929.47;2929.46879987;;;;;QS0011256201;;;;3.02696422370322;DE0005552004 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011256201;05-05-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.114505899359;1985.47;2010.42;2010.42464122;1644757.56199561;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;05-05-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1964.16;1986.53;1986.53254558;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;05-05-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1937.56;1959.63;1959.63400631;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;05-05-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1179.03;1192.46;1192.45936248;90838432.416895;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;05-05-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2491.69;2524.03;2524.0314939;;;;;QS0011250907;;;5.55808046897545;;FR0000052292 FR0000120321 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
