#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
FRIX00031966;05-05-2025;;FRIX00031966;FR;SGACD;Euronext G ACA 010622 GR Decrement 0 84;XPAR;;15.641;15.65;15.65026458;;;;;FRIX00021959;;;;;;ECB;TR4 Dividend Return;Indices;Points;.84;3;365;0;
FRIX00021959;05-05-2025;;FRIX00021959;FR;SGACG;Euronext G ACA 010622 GR 0 84;XPAR;;19.393;19.411;19.4105807;;;;;FRIX00011943;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00011943;05-05-2025;;FRIX00011943;FR;SGACP;Euronext G ACA 010622 PR 0 84;XPAR;100;16.490;16.505;16.505;1650.5;1;EUR;1;;FRIX00021959;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00005978;05-05-2025;;FRIX00005978;FR;SGEND;Euronext G ENI IM 030425 Decrement 0.96;XPAR;;12.626;12.577;12.57722088;;;;;FRIX00004427;;;;;;ECB;TR4 Dividend Return;Indices;Points;.96;3;365;0;
FRIX00005804;05-05-2025;;FRIX00005804;FR;SGPRD;Euronext G Pernod Ricard SA 261124 Decrement 4.70;XPAR;;93.345;94.652;94.65247782;;;;;FRIX00005796;;;;;;ECB;TR4 Dividend Return;Indices;Points;4.7;3;365;0;
FRIX00005796;05-05-2025;;FRIX00005796;FR;SPRGR;Euronext Pernod Ricard SA GR;XPAR;;95.220;96.58;96.58;;;;;FRIX00005788;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00005788;05-05-2025;;FRIX00005788;FR;SPRPR;Euronext Pernod Ricard SA PR;XPAR;100;95.220;96.58;96.58;9658;1;EUR;1;;FRIX00005796;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00005473;05-05-2025;;FRIX00005473;FR;SEID2;Euronext ENI Decrement Serie 2;XPAR;;12.743;12.693;12.69301198;;;;;FRIX00004427;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00005432;05-05-2025;;FRIX00005432;FR;SGMD4;Euronext G Mercedes Benz Group 150125 D4;XPAR;;51.397;52.188;52.18809249;;;;;FRIX00005416;;;;;;ECB;TR4 Dividend Return;Indices;Points;4;3;365;0;
FRIX00005416;05-05-2025;;FRIX00005416;FR;SMBGG;Euronext Mercedes Benz Group GR;XPAR;;52.470;53.3;53.3;;;;;FRIX00005408;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00005408;05-05-2025;;FRIX00005408;FR;SMBGP;Euronext Mercedes Benz Group PR;XPAR;100;52.470;53.3;53.3;5330;1;EUR;1;;FRIX00005416;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004799;05-05-2025;;FRIX00004799;FR;SRED1;Euronext Renault Decrement Serie 1;XPAR;;0.665;.67;.67042483;;;;;FRIX00004781;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004781;05-05-2025;;FRIX00004781;FR;SREG;Euronext Renault GR;XPAR;;46.630;47.38;47.38;;;;;FRIX00004773;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004773;05-05-2025;;FRIX00004773;FR;SREP;Euronext Renault PR;XPAR;100;46.630;47.38;47.38;4738;1;EUR;1;;FRIX00004781;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004765;05-05-2025;;FRIX00004765;FR;SSCD1;Euronext Scor Decrement Serie 1;XPAR;;27.087;27.71;27.70974635;;;;;FRIX00004757;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004757;05-05-2025;;FRIX00004757;FR;SSCG;Euronext Scor GR;XPAR;;27.580;28.22;28.22;;;;;FRIX00004740;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004740;05-05-2025;;FRIX00004740;FR;SSCP;Euronext Scor PR;XPAR;100;27.58;26.42;26.42;2642;1;EUR;1;;FRIX00004757;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004732;05-05-2025;;FRIX00004732;FR;SVED1;Euronext Veolia Environnement Decrement Serie 1;XPAR;;914.375;916.074;916.0738949;;;;;FRIX00004724;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004724;05-05-2025;;FRIX00004724;FR;SVEG1;Euronext Veolia Environnement GR;XPAR;;32.180;32.24;32.24;;;;;FRIX00004716;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004716;05-05-2025;;FRIX00004716;FR;SVEP1;Euronext Veolia Environnement PR;XPAR;100;32.180;32.24;32.24;3224;1;EUR;1;;FRIX00004724;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004708;05-05-2025;;FRIX00004708;FR;SMID1;Euronext Michelin Decrement Serie 1;XPAR;;31.716;32.233;32.23327717;;;;;FRIX00004690;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004690;05-05-2025;;FRIX00004690;FR;SMIG;Euronext Michelin GR;XPAR;;32.170;32.7;32.7;;;;;FRIX00004682;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004682;05-05-2025;;FRIX00004682;FR;SMIP;Euronext Michelin PR;XPAR;100;32.170;32.7;32.7;3270;1;EUR;1;;FRIX00004690;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004674;05-05-2025;;FRIX00004674;FR;SSOD1;Euronext Saint Gobain Decrement Serie 1;XPAR;;95.026;98.364;98.36426734;;;;;FRIX00004666;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004666;05-05-2025;;FRIX00004666;FR;SSOG;Euronext Saint Gobain GR;XPAR;;95.500;98.86;98.86;;;;;FRIX00004658;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004658;05-05-2025;;FRIX00004658;FR;SSOP;Euronext Saint Gobain PR;XPAR;100;95.500;98.86;98.86;9886;1;EUR;1;;FRIX00004666;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004641;05-05-2025;;FRIX00004641;FR;SURD1;Euronext Unibail Rodamco Westfield Decrement Serie;XPAR;;74.078;75.743;75.74255909;;;;;FRIX00004633;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004633;05-05-2025;;FRIX00004633;FR;SURG;Euronext Unibail Rodamco Westfield GR;XPAR;;74.520;76.2;76.2;;;;;FRIX00004625;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004625;05-05-2025;;FRIX00004625;FR;SURP;Euronext Unibail Rodamco Westfield PR;XPAR;100;74.520;76.2;76.2;7620;1;EUR;1;;FRIX00004633;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004617;05-05-2025;;FRIX00004617;FR;SKLD1;Euronext Klepierre Decrement Serie 1;XPAR;;32.715;33.156;33.15607968;;;;;FRIX00004609;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004609;05-05-2025;;FRIX00004609;FR;SKLG;Euronext Klepierre GR;XPAR;;33.227;33.681;33.68096025;;;;;FRIX00004591;;;0;;;ECB;TR1;Indices;;;;;0;
FRIX00004591;05-05-2025;;FRIX00004591;FR;SKLP;Euronext Klepierre PR;XPAR;100;32.240;32.68;32.68;3268;1;EUR;1;;FRIX00004609;;;;;ECB;EU Price;Indices;;;;;0;
FRIX00004583;05-05-2025;;FRIX00004583;FR;SIND1;Euronext ING Groep Decrement Serie 1;XPAR;;17.436;18.718;18.71775533;;;;;FRIX00004575;;;;;;ECB;TR4 Dividend Return;Indices;Points;1;3;365;0;
FRIX00004575;05-05-2025;;FRIX00004575;FR;SING;Euronext ING Groep GR;XPAR;;17.928;19.252;19.25182856;;;;;FRIX00004567;;;0;;;ECB;TR1;Indices;;;;;0;
