#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
FR0000045072;06-05-2025;;FR0000045072;FR;ACA;CREDIT AGRICOLE;XPAR;30101010;16.56;16.56000000;0;0;SGACP;100;1;1;EUR;1;1.00000000;1656;100;;;;;0;0;;
FR0000120693;06-05-2025;;FR0000120693;FR;RI;PERNOD RICARD;XPAR;45101015;96.44;96.44000000;0;0;SPRPR;100;1;1;EUR;1;1.00000000;9644;100;;;;;0;0;;
MBGn.DE;06-05-2025;;DE0007100000;DE;MBG;MERCEDES-BENZ GROUP;XETR;40101020;53.93;53.93000000;0;0;SMBGP;100;1;1;EUR;1;1.00000000;5393;100;;;;;0;0;;
FR0000131906;06-05-2025;;FR0000131906;FR;RNO;RENAULT;XPAR;40101020;47.46;47.46000000;0;0;SREP;100;1;1;EUR;1;1.00000000;4746;100;;;;;0;0;;
FR0010411983;06-05-2025;;FR0010411983;FR;SCR;SCOR SE;XPAR;30302020;26.62;26.62000000;0;0;SSCP;100;1;1;EUR;1;1.00000000;2662;100;;;;;0;0;;
FR0000124141;06-05-2025;;FR0000124141;FR;VIE;VEOLIA ENVIRON.;XPAR;65102030;32.19;32.19000000;0;0;SVEP1;100;1;1;EUR;1;1.00000000;3219;100;;;;;0;0;;
FR001400AJ45;06-05-2025;;FR001400AJ45;FR;ML;MICHELIN;XPAR;40101015;32.66;32.66000000;0;0;SMIP;100;1;1;EUR;1;1.00000000;3266;100;;;;;0;0;;
FR0000125007;06-05-2025;;FR0000125007;FR;SGO;SAINT GOBAIN;XPAR;50101035;98.06;98.06000000;0;0;SSOP;100;1;1;EUR;1;1.00000000;9806;100;;;;;0;0;;
FR0013326246;06-05-2025;;FR0013326246;FR;URW;UNIBAIL-RODAMCO-WE;XPAR;35102045;76.68;76.68000000;0;0;SURP;100;1;1;EUR;1;1.00000000;7668;100;;;;;0;0;;
FR0000121964;06-05-2025;;FR0000121964;FR;LI;KLEPIERRE;XPAR;35102045;32.98;32.98000000;0;0;SKLP;100;1;1;EUR;1;1.00000000;3298;100;;;;;0;0;;
NL0011821202;06-05-2025;;NL0011821202;NL;INGA;ING GROEP N.V.;XAMS;30101010;18.15;18.15000000;0;0;SINP;100;1;1;EUR;1;1.00000000;1815;100;;;;;0;0;;
FR0000121485;06-05-2025;;FR0000121485;FR;KER;KERING;XPAR;40204020;176.14;176.14000000;0;0;SKEP;100;1;1;EUR;1;1.00000000;17614;100;;;;;0;0;;
FR0000120172;06-05-2025;;FR0000120172;FR;CA;CARREFOUR;XPAR;45201010;13.56;13.56000000;0;0;SCRP;100;1;1;EUR;1;1.00000000;1356;100;;;;;0;0;;
NL00150001Q9;06-05-2025;;NL00150001Q9;FR;STLAP;STELLANTIS NV;XPAR;40101020;8.373;8.37300000;0;0;SSTP;100;1;1;EUR;1;1.00000000;837.3;100;;;;;0;0;;
