#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;05-05-2025;Y;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;5259.18;5234.29;5234.29308431;;;;;QS0011256169;;;.43908466018605;;US05722G1004;WM ;TR1;Indices;;;;;0;
QS0011256185;05-05-2025;Y;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;4720.27;4697.66;4697.66087652;;;;;QS0011256169;;;;.30735926213024;US05722G1004;WM ;TR1;Indices;;;;;0;
QS0011256169;05-05-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;840.550907981191;3642.84;3624.9;3624.90218681;3046914.8244699;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;05-05-2025;Y;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;3191.81;3187.57;3187.56887878;;;;;QS0011250840;;;.07392260208253;;US05722G1004;WM ;TR1;Indices;;;;;0;
QS0011250857;05-05-2025;Y;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;2872.81;2868.41;2868.4056182;;;;;QS0011250840;;;;.05174582145777;US05722G1004;WM ;TR1;Indices;;;;;0;
QS0011250840;05-05-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;859.618263018648;1998.52;1994.25;1994.25270986;1714296.05047241;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;05-05-2025;Y;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;6824.86;6800.56;6800.56000619;;;;;NL0015436114;;;.05124840777031;;US05722G1004 US59156R1086;ECB;TR1;Indices;;;;;0;
NL0015436122;05-05-2025;Y;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6081.38;6059.64;6059.6360153;;;;;NL0015436114;;;;.03587388543922;US05722G1004 US59156R1086;ECB;TR1;Indices;;;;;0;
NL0015436114;05-05-2025;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9570322812.71115;4594.56;4577.98;4577.97990855;43812745554949.286238;500;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;05-05-2025;Y;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;4990.19;4981.12;4981.11907613;;;;;NL0015000IB0;;;.14225087954899;;AT0000746409 BE0003565737 BE0974293251 IT0003874101 SE0015961909 SGXE34184239 US05722G1004 US59156R1086;ECB;TR1;Indices;;;;;0;
