#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;05-05-2025;;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;5201.67;5259.18;5259.18271615;;;;;QS0011256169;;;.69959920061517;;US6826801036;WM ;TR1;Indices;;;;;0;
QS0011256185;05-05-2025;;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;4669.06;4720.27;4720.27201226;;;;;QS0011256169;;;;.48971944043062;US6826801036;WM ;TR1;Indices;;;;;0;
QS0011256169;05-05-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;840.550907981191;3604.05;3642.84;3642.84191609;3061994.0801994;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;05-05-2025;;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;3161.79;3191.81;3191.8141918;;;;;QS0011250840;;;1.60952661728173;;FR0000052292 FR0000120321 FR0000120644 FR0000121485;WM ;TR1;Indices;;;;;0;
QS0011250857;05-05-2025;;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;2846.19;2872.81;2872.80503897;;;;;QS0011250840;;;;1.20714496297002;FR0000052292 FR0000120321 FR0000120644 FR0000121485;WM ;TR1;Indices;;;;;0;
QS0011250840;05-05-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;859.618263018648;1981.10;1998.52;1998.52039392;1717964.62962516;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;05-05-2025;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;6684.95;6824.86;6824.86339098;;;;;NL0015436114;;;.21918632847405;;IE00B8KQN827 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015436122;05-05-2025;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;5956.78;6081.38;6081.37636683;;;;;NL0015436114;;;;.15532349595891;IE00B8KQN827 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015436114;05-05-2025;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9570322812.71115;4500.55;4594.56;4594.56035544;43971425784030.721597;500;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;05-05-2025;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;4896.95;4990.19;4990.18627076;;;;;NL0015000IB0;;;.73524946561019;;CH0239229302 DE0005552004 DE000BASF111 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485 IE00B8KQN827 SG0531000230 SG1N31909426 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015000I89;05-05-2025;;NL0015000I89;NL;ENDMP;Euronext Developed Market;XAMS;19634797277.5541;3056.63;3114.4;3114.39621684;61150538359651.263843;1544;EUR;1;;NL0015000I63;NL0015000I71;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I71;05-05-2025;;NL0015000I71;NL;ENDMN;Euronext Developed Market NR;XAMS;;4384.07;4467.37;4467.36932979;;;;;NL0015000I89;;;;.54475872467695;CH0239229302 DE0005552004 DE000BASF111 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485 IE00B8KQN827 SG0531000230 SG1N31909426 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015000I63;05-05-2025;;NL0015000I63;NL;ENDMG;Euronext Developed Market GR;XAMS;;4898.87;4992.1;4992.09950371;;;;;NL0015000I89;;;.73391633772961;;CH0239229302 DE0005552004 DE000BASF111 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485 IE00B8KQN827 SG0531000230 SG1N31909426 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015000IB0;05-05-2025;;NL0015000IB0;NL;ENWP;Euronext World;XAMS;19599196169.4887;3056.06;3113.83;3113.83397473;61028642910041.184763;1497;EUR;1;;NL0015000I97;NL0015000IA2;;;;ECB;EU Price;Indices;;;;;0;
NL0015000IA2;05-05-2025;;NL0015000IA2;NL;ENWN;Euronext World NR;XAMS;;4382.61;4465.91;4465.91057444;;;;;NL0015000IB0;;;;.54574825578114;CH0239229302 DE0005552004 DE000BASF111 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485 IE00B8KQN827 SG0531000230 SG1N31909426 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015000E91;05-05-2025;;NL0015000E91;FR;EWCSP;Euronext World Country selection;XPAR;15475243089.1854;3365.70;3428.09;3428.08535395;53050454182778.569034;1089;EUR;1;;NL0015000E75;NL0015000EB9;;;;ECB;EU Price;Indices;;;;;0;
NL0015000E75;05-05-2025;;NL0015000E75;FR;EWCSG;Euronext World Country selection GR;XPAR;;5214.73;5311.64;5311.64437412;;;;;NL0015000E91;;;.14059555473725;;CH0239229302 IE00B8KQN827 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015000EG8;05-05-2025;;NL0015000EG8;FR;EVEWN;Euronext ESG World-Select 75 Bund/SV NR;XPAR;;5145.78;5240.95;5240.95335076;;;;;NL0015000ED5;;;;.1927685229134;US1729674242;ECB;TR1;Indices;;;;;0;
NL0015000ED5;05-05-2025;;NL0015000ED5;FR;EVEWP;Euronext ESG World-Select 75 Bund/SV;XPAR;350719.320882346;3810.98;3881.47;3881.47019145;1361306589.57071363;75;EUR;1;;NL0015000EA1;NL0015000EG8;;;;ECB;EU Price;Indices;;;;;0;
NL0015000EB9;05-05-2025;;NL0015000EB9;FR;EWCSN;Euronext World Country selection NR;XPAR;;4691.46;4778.6;4778.59755436;;;;;NL0015000E91;;;;.09933538307209;CH0239229302 IE00B8KQN827 US03076C1062 US1729674242 US6826801036 US87165B1035;ECB;TR1;Indices;;;;;0;
NL0015000EA1;05-05-2025;;NL0015000EA1;FR;EVEWG;Euronext ESG World-Select 75 Bund/SV GR;XPAR;;5725.96;5831.86;5831.86073036;;;;;NL0015000ED5;;;.275383604162;;US1729674242;ECB;TR1;Indices;;;;;0;
NL0015000BX9;05-05-2025;;NL0015000BX9;FR;ETE5P;EN Transatlantic Environment 50;XPAR;471089621.564913;5051.02;5168.77;5168.76556657;2434951814715.1440625;50;EUR;1;;NL0015000BV3;NL0015000BQ3;;;;ECB;EU Price;Indices;;;;;0;
NL0015000BW1;05-05-2025;;NL0015000BW1;FR;ETE5D;EN Transatlantic Environment 50 D5%;XPAR;;3123.17;3195.12;3195.1201532;;;;;NL0015000BQ3;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;3;365;0;
NL0015000BV3;05-05-2025;;NL0015000BV3;FR;ETE5G;EN Transatlantic Environment 50 GR;XPAR;;7458.06;7631.92;7631.91900913;;;;;NL0015000BX9;;;5.04188095719429;;FR0000052292 FR0000120321 FR0000121485;ECB;TR1;Indices;;;;;0;
NL0015000BQ3;05-05-2025;;NL0015000BQ3;FR;ETEGN;EN Transatlantic Environment 50 NR;XPAR;;6723.15;6879.87;6879.86873338;;;;;NL0015000BX9;;;;3.78141071789572;FR0000052292 FR0000120321 FR0000121485;ECB;TR1;Indices;;;;;0;
NL0015000A95;05-05-2025;;NL0015000A95;FR;EUED5;Euronext US ESGL 20 EW Decrement 5%;XPAR;;1411.10;1416.7;1416.69997759;;;;;NL0015000A79;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;3;365;0;
NL0015000A87;05-05-2025;;NL0015000A87;FR;EUEGR;Euronext US ESGL 20 EW GR;XPAR;;4264.62;4282.71;4282.70743937;;;;;NL0015000A61;;;0;;;WM ;TR1;Indices;;;;;0;
NL0015000A79;05-05-2025;;NL0015000A79;FR;EUENR;Euronext US ESGL 20 EW NR;XPAR;;3712.27;3728.02;3728.01661689;;;;;NL0015000A61;;;;0;;WM ;TR1;Indices;;;;;0;
NL0015000A61;05-05-2025;;NL0015000A61;FR;EUEPR;Euronext US ESGL 20 EW;XPAR;1019497.83230969;2658.89;2670.17;2670.16966665;2722232187.05;20;USD;1;;NL0015000A87;NL0015000A79;;;;WM ;EU Price;Indices;;;;;0;
NL0013941016;05-05-2025;;NL0013941016;FR;WLESG;EN CDP Environment ESG World EW D5%;XPAR;;1602.93;1627.78;1627.78179454;;;;;NL0013940992;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;3;365;0;
NL0013941008;05-05-2025;;NL0013941008;FR;WESGG;EN CDP Environment ESG World EW GR;XPAR;;4806.86;4882.7;4882.70418608;;;;;NL0013940984;;;4.83903047883995;;FR0000120321 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
NL0013940992;05-05-2025;;NL0013940992;FR;WESGN;EN CDP Environment ESG World EW NR;XPAR;;4217.13;4283.68;4283.67598637;;;;;NL0013940984;;;;3.62927285912996;FR0000120321 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
NL0013940984;05-05-2025;;NL0013940984;FR;WESGP;EN CDP Environment ESG World EW;XPAR;1004923.3976236;2742.07;2785.34;2785.34092878;2799054269.69302765;40;EUR;1;;NL0013941008;NL0013940992;;;;ECB;EU Price;Indices;;;;;0;
NL0013908809;05-05-2025;;NL0013908809;FR;ESGTL;EN Transatlantic ESG Leaders 60 EW D 5%;XPAR;;1604.46;1624.44;1624.44445346;;;;;NL0013908783;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;3;365;0;
NL0013908791;05-05-2025;;NL0013908791;FR;ESGTG;EN Transatlantic ESG Leaders 60 EW GR;XPAR;;4921.02;4984.69;4984.68610284;;;;;NL0013908775;;;7.18290175479597;;DE0005552004 FR0000052292 FR0000120321 FR0000120628 FR0000120644;ECB;TR1;Indices;;;;;0;
