#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
PAC389916736;05-05-2025;BE0389916736;BE;BE3LN;BEL 20 X3 Leverage NR;XBRU;21981.945;22723.389;22723.389;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC389915720;05-05-2025;BE0389915720;BE;BEL5S;BEL 20 X5 Short GR;XBRU;159.572;150.138;150.138;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC389914715;05-05-2025;BE0389914715;BE;BEL5L;BEL 20 X5 Leverage NR;XBRU;482.119;509.178;509.178;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013504776;05-05-2025;FR0013504776;FR;CSH15;CAC 40 X15 Short GR;XPAR;0.01;0.01;.01;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;1
PAC013504768;05-05-2025;FR0013504768;FR;ALE10;AEX X10 Leverage NR;XPAR;9725.023;11316.693;11316.693;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013504743;05-05-2025;FR0013504743;FR;ALE15;AEX X15 Leverage NR;XPAR;0.01;0.01;.01;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;1
PAC013504735;05-05-2025;FR0013504735;FR;CLE15;CAC 40 X15 Leverage NR;XPAR;0.01;0.01;.01;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;1
PAC013364395;05-05-2025;FR0013364395;FR;CAC7S;CAC 40 X7 Short GR;XPAR;24.419;21.837;21.837;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362993;05-05-2025;FR0013362993;FR;CA10L;CAC 40 X10 Leverage NR;XPAR;566.674;652.308;652.308;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362985;05-05-2025;FR0013362985;FR;AEX7S;AEX X7 Short GR;XPAR;71.973;63.8;63.8;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362878;05-05-2025;FR0013362878;FR;CAC6S;CAC 40 X6 Short GR;XPAR;14.453;13.143;13.143;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362860;05-05-2025;FR0013362860;FR;CAC7L;CAC 40 X7 Leverage NR;XPAR;54.039;59.758;59.758;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362852;05-05-2025;FR0013362852;FR;CAC6L;CAC 40 X6 Leverage NR;XPAR;2292.216;2497.875;2497.875;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362837;05-05-2025;FR0013362837;FR;CAC4S;CAC 40 X4 Short GR;XPAR;48.111;45.206;45.206;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362811;05-05-2025;FR0013362811;FR;CAC4L;CAC 40 X4 Leverage NR;XPAR;16372.975;17364.016;17364.016;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362688;05-05-2025;FR0013362688;FR;CAC3S;CAC 40 X3 Short GR;XPAR;2.941;2.808;2.808;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013362662;05-05-2025;FR0013362662;FR;CAC3L;CAC 40 X3 Leverage NR;XPAR;43215.656;45178.99;45178.99;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013361649;05-05-2025;FR0013361649;FR;CA12S;CAC 40 X12 Short GR;XPAR;696.911;570.499;570.499;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013361573;05-05-2025;FR0013361573;FR;CA10S;CAC 40 X10 Short GR;XPAR;10651.138;9041.352;9041.352;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013361359;05-05-2025;FR0013361359;FR;CAC5L;CAC 40 X5 Leverage NR;XPAR;2899.187;3116.017;3116.017;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013360666;05-05-2025;FR0013360666;FR;CAC5S;CAC 40 X5 Short GR;XPAR;383.758;354.781;354.781;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC013186939;05-05-2025;FR0013186939;FR;C12LE;CAC 40 X12 Leverage NR;XPAR;2.286;2.696;2.696;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011936141;05-05-2025;NL0011936141;NL;A12LE;AEX X12 Leverage NR;XAMS;320.632;383.596;383.596;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011515416;05-05-2025;NL0011515416;NL;AE15S;AEX X15 Short GR;XAMS;0.01;0.01;.01;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;1
PAC011515408;05-05-2025;NL0011515408;NL;AE12S;AEX X12 Short GR;XAMS;1615.804;1298.38;1298.38;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011515390;05-05-2025;NL0011515390;NL;AE10S;AEX X10 Short GR;XAMS;149.336;125.083;125.083;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230222;05-05-2025;QS0011230222;NL;AEX6S;AEX X6 Short GR;XAMS;23.083;20.817;20.817;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230214;05-05-2025;QS0011230214;NL;AEX5S;AEX X5 Short GR;XAMS;397.187;364.704;364.704;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230206;05-05-2025;QS0011230206;NL;AEX4S;AEX X4 Short GR;XAMS;37.747;35.279;35.279;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230198;05-05-2025;QS0011230198;NL;AEX3S;AEX X3 Short GR;XAMS;2.016;1.917;1.917;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230180;05-05-2025;QS0011230180;NL;AEX7L;AEX X7 Leverage NR;XAMS;41763.585;46550.042;46550.042;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230172;05-05-2025;QS0011230172;NL;AEX6L;AEX X6 Leverage NR;XAMS;313.914;344.758;344.758;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230164;05-05-2025;QS0011230164;NL;AEX5L;AEX X5 Leverage NR;XAMS;117991.735;127655.529;127655.529;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230156;05-05-2025;QS0011230156;NL;AEX4L;AEX X4 Leverage NR;XAMS;235607.121;251050.991;251050.991;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011230115;05-05-2025;QS0011230115;NL;AEX3L;AEX X3 Leverage NR;XAMS;258640.391;271364.516;271364.516;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011216213;05-05-2025;QS0011216213;FR;CACGL;CAC 40 Leverage GR;XPAR;7259.074;7479.264;7479.264;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011216205;05-05-2025;QS0011216205;NL;AEXNL;AEX Leverage NR;XAMS;8038.924;8302.947;8302.947;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179254;05-05-2025;QS0011179254;PT;PSITL;PSI Leverage GR;XLIS;2649.348;2663.029;2663.029;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179247;05-05-2025;QS0011179247;BE;BELTL;BEL 20 Leverage GR;XBRU;7480.514;7658.392;7658.392;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179239;05-05-2025;QS0011179239;NL;AEXTL;AEX Leverage GR;XAMS;9669.79;9987.377;9987.377;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011179221;05-05-2025;QS0011179221;FR;CACTL;CAC 40 Leverage NR;XPAR;5207.661;5365.625;5365.625;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146964;05-05-2025;QS0011146964;PT;PSI3S;PSI X3 Short GR;XLIS;13.661;13.557;13.557;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146956;05-05-2025;QS0011146956;PT;PSI2S;PSI X2 Short GR;XLIS;28.302;28.161;28.161;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146949;05-05-2025;QS0011146949;PT;PSI3L;PSI Triple Leverage;XLIS;999.674;984.491;984.491;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146931;05-05-2025;QS0011146931;BE;BEL3S;BEL 20 X3 Short GR;XBRU;1.752;1.69;1.69;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146923;05-05-2025;QS0011146923;BE;BEL2S;BEL 20 X2 Short GR;XBRU;7.686;7.504;7.504;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146915;05-05-2025;QS0011146915;BE;BEL3L;BEL 20 Triple Leverage;XBRU;4943.314;5088.479;5088.479;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146899;05-05-2025;QS0011146899;NL;AEX2S;AEX X2 Short GR;XAMS;4.106;3.972;3.972;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011146865;05-05-2025;QS0011146865;FR;CAC2S;CAC 40 X2 Short GR;XPAR;3.813;3.699;3.699;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011100862;05-05-2025;QS0011100862;PT;PSIXB;PSI Xbear GR;XLIS;28.579;28.437;28.437;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011100854;05-05-2025;QS0011100854;NL;AEXXB;AEX Xbear GR;XAMS;4.151;4.016;4.016;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011100847;05-05-2025;QS0011100847;BE;BELXB;BEL 20 Xbear GR;XBRU;7.686;7.504;7.504;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095948;05-05-2025;QS0011095948;PT;PSISH;PSI Short GR;XLIS;279.14;278.464;278.464;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095922;05-05-2025;QS0011095922;PT;PSILV;PSI Leverage;XLIS;513.722;508.543;508.543;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095914;05-05-2025;QS0011095914;NL;AEXSH;AEX Short GR;XAMS;111.619;109.804;109.804;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095898;05-05-2025;QS0011095898;NL;AEXLV;AEX Leverage;XAMS;2185.647;2257.431;2257.431;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095880;05-05-2025;QS0011095880;BE;BELSH;BEL 20 Short GR;XBRU;150.34;148.577;148.577;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095864;05-05-2025;QS0011095864;BE;BELLV;BEL 20 Leverage;XBRU;1590.277;1621.483;1621.483;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095856;05-05-2025;QS0011095856;FR;CACXB;CAC 40 Xbear GR;XPAR;3.784;3.67;3.67;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095831;05-05-2025;QS0011095831;FR;CACSH;CAC 40 Short GR;XPAR;114.206;112.493;112.493;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC011095815;05-05-2025;QS0011095815;FR;CACLV;CAC 40 Leverage;XPAR;1646.041;1695.971;1695.971;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC010661906;05-05-2025;NL0010661906;NL;ITX7S;Italia Leva 7 Short;XAMS;47.287;43.659;43.659;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
PAC010661898;05-05-2025;NL0010661898;NL;ITX7L;Italia Leva 7 Long;XAMS;12809.3;13792.825;13792.825;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
