#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
FRIX00006422;05-05-2025;FRIX00006422;FR;E3XSA;Euronext 3X Short ASML;XPAR;554.597;572.023;572.02325312;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0125;0.0125;;;;;;25.000000;;;0
FRIX00006414;05-05-2025;FRIX00006414;FR;E3XLA;Euronext 3X Long ASML;XPAR;777.155;753.016;753.0157702;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;-25.000000;;;0
FRIX00006380;05-05-2025;FRIX00006380;FR;E3XLR;Euronext 3X Long Robinhood Markets;XPAR;2087.705;2016.49;2016.48967024;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;-25.000000;;;0
FRIX00006364;05-05-2025;FRIX00006364;FR;E3XSB;Euronext 3X Short Broadcom;XPAR;96.749;101.02;101.01975718;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0125;0.0125;;;;;;25.000000;;;0
FRIX00006356;05-05-2025;FRIX00006356;FR;E3XLB;Euronext 3X Long Broadcom;XPAR;729.94;697.977;697.97717053;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;-25.000000;;;0
FRIX00006331;05-05-2025;FRIX00006331;FR;E3XSI;Euronext 3X Short Intel;XPAR;338.033;355.628;355.62823345;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0125;0.0125;;;;;;25.000000;;;0
FRIX00006323;05-05-2025;FRIX00006323;FR;E3XLI;Euronext 3X Long Intel;XPAR;357.536;339.054;339.05401783;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;-25.000000;;;0
FRIX00006307;05-05-2025;FRIX00006307;FR;E3XSE;Euronext 3X Short Eli Lilly;XPAR;588.643;593.938;593.93822297;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0126;0.0126;;;;;;25.000000;;;0
FRIX00006299;05-05-2025;FRIX00006299;FR;E3XLE;Euronext 3X Long Eli Lilly;XPAR;794.344;787.482;787.4815854;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;-25.000000;;;0
FRIX00003247;05-05-2025;FRIX00003247;NL;E3XSM;Euronext 3X Short MicroStrategy;XAMS;88.071;93.422;93.42240211;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.012848;0.012848;;;;;;25.000000;;;0
FRIX00003239;05-05-2025;FRIX00003239;FR;E3XLM;Euronext 3X Long MicroStrategy;XPAR;941.101;884.248;884.24833668;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;-25.000000;;;0
