#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
FRIX00006422;05-05-2025;FRIX00006422;FR;E3XSA;Euronext 3X Short ASML;XPAR;615.644;554.597;554.597417;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0125;0.0125;;;;;;;;;0
FRIX00006414;05-05-2025;FRIX00006414;FR;E3XLA;Euronext 3X Long ASML;XPAR;706.891;777.155;777.15540459;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;;;;0
FRIX00006380;05-05-2025;FRIX00006380;FR;E3XLR;Euronext 3X Long Robinhood Markets;XPAR;2157.344;2087.705;2087.70517722;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;;;;0
FRIX00006364;05-05-2025;FRIX00006364;FR;E3XSB;Euronext 3X Short Broadcom;XPAR;117.037;96.749;96.74851141;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0125;0.0125;;;;;;;;;0
FRIX00006356;05-05-2025;FRIX00006356;FR;E3XLB;Euronext 3X Long Broadcom;XPAR;621.972;729.94;729.94035016;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;;;;0
FRIX00006331;05-05-2025;FRIX00006331;FR;E3XSI;Euronext 3X Short Intel;XPAR;366.176;338.033;338.03285634;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0125;0.0125;;;;;;;;;0
FRIX00006323;05-05-2025;FRIX00006323;FR;E3XLI;Euronext 3X Long Intel;XPAR;331.944;357.536;357.53617168;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;;;;0
FRIX00006307;05-05-2025;FRIX00006307;FR;E3XSE;Euronext 3X Short Eli Lilly;XPAR;470.107;588.643;588.64276947;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.0126;0.0126;;;;;;;;;0
FRIX00006299;05-05-2025;FRIX00006299;FR;E3XLE;Euronext 3X Long Eli Lilly;XPAR;1061.827;794.344;794.34422114;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;;;;0
FRIX00003247;05-05-2025;FRIX00003247;NL;E3XSM;Euronext 3X Short MicroStrategy;XAMS;99.157;88.071;88.07106685;3;20250502;20250505;3;EEFR;0.0433;0.0433;0.012848;0.012848;;;;;;;;;0
FRIX00003239;05-05-2025;FRIX00003239;FR;E3XLM;Euronext 3X Long MicroStrategy;XPAR;846.29;941.101;941.10129307;3;20250502;20250505;3;EEFR;0.0433;0.0433;0;0;0.003;0.003;;;;;;;0
