#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
QS0011230222;05-05-2025;QS0011230222;NL;AEX6S;AEX X6 Short GR;XAMS;19.986;20.169;20.16909229;3;20250502;20250505;6;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
QS0011230214;05-05-2025;QS0011230214;NL;AEX5S;AEX X5 Short GR;XAMS;352.791;355.488;355.48778156;3;20250502;20250505;5;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
QS0011230206;05-05-2025;QS0011230206;NL;AEX4S;AEX X4 Short GR;XAMS;34.373;34.584;34.58426945;3;20250502;20250505;4;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
QS0011230198;05-05-2025;QS0011230198;NL;AEX3S;AEX X3 Short GR;XAMS;1.881;1.89;1.88960933;3;20250502;20250505;3;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
QS0011230180;05-05-2025;QS0011230180;NL;AEX7L;AEX X7 Leverage NR;XAMS;48303.761;47794.722;47794.72166685;3;20250502;20250505;7;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-12.000000;;;0
QS0011230172;05-05-2025;QS0011230172;NL;AEX6L;AEX X6 Leverage NR;XAMS;356.057;352.851;352.85110841;3;20250502;20250505;6;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
QS0011230164;05-05-2025;QS0011230164;NL;AEX5L;AEX X5 Leverage NR;XAMS;131194.572;130214.695;130214.69547435;3;20250502;20250505;5;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
QS0011230156;05-05-2025;QS0011230156;NL;AEX4L;AEX X4 Leverage NR;XAMS;256704.429;255181.101;255181.101327;3;20250502;20250505;4;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
QS0011230115;05-05-2025;QS0011230115;NL;AEX3L;AEX X3 Leverage NR;XAMS;276019.109;274804.775;274804.77451708;3;20250502;20250505;3;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
QS0011216213;05-05-2025;QS0011216213;FR;CACGL;CAC 40 Leverage GR;XPAR;7595.725;7581.625;7581.62529827;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011216205;05-05-2025;QS0011216205;NL;AEXNL;AEX Leverage NR;XAMS;8399.395;8375.333;8375.33287934;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011179254;05-05-2025;QS0011179254;PT;PSITL;PSI Leverage GR;XLIS;2669.081;2694.676;2694.67565494;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011179247;05-05-2025;QS0011179247;BE;BELTL;BEL 20 Leverage GR;XBRU;7726.068;7806.64;7806.64019184;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011179239;05-05-2025;QS0011179239;NL;AEXTL;AEX Leverage GR;XAMS;10103.391;10074.447;10074.44721368;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011179221;05-05-2025;QS0011179221;FR;CACTL;CAC 40 Leverage NR;XPAR;5449.175;5426.391;5426.39144347;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
QS0011146964;05-05-2025;QS0011146964;PT;PSI3S;PSI X3 Short GR;XLIS;13.512;13.323;13.32270383;3;20250502;20250505;3;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011146956;05-05-2025;QS0011146956;PT;PSI2S;PSI X2 Short GR;XLIS;28.097;27.836;27.8357869;3;20250502;20250505;2;ESTER;0.02156;0.02168;0.002;0.002;;;;;;25.000000;;;0
QS0011146949;05-05-2025;QS0011146949;PT;PSI3L;PSI Triple Leverage;XLIS;987.916;1002.025;1002.02530868;3;20250502;20250505;3;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-25.000000;;;0
