#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
QS0011230222;05-05-2025;QS0011230222;NL;AEX6S;AEX X6 Short GR;XAMS;23.083;19.986;19.98645765;3;20250502;20250505;6;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011230214;05-05-2025;QS0011230214;NL;AEX5S;AEX X5 Short GR;XAMS;397.187;352.791;352.7907397;3;20250502;20250505;5;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011230206;05-05-2025;QS0011230206;NL;AEX4S;AEX X4 Short GR;XAMS;37.747;34.373;34.37281357;3;20250502;20250505;4;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011230198;05-05-2025;QS0011230198;NL;AEX3S;AEX X3 Short GR;XAMS;2.016;1.881;1.88084685;3;20250502;20250505;3;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
QS0011230180;05-05-2025;QS0011230180;NL;AEX7L;AEX X7 Leverage NR;XAMS;41763.585;48303.761;48303.76093428;3;20250502;20250505;7;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011230172;05-05-2025;QS0011230172;NL;AEX6L;AEX X6 Leverage NR;XAMS;313.914;356.057;356.05689728;3;20250502;20250505;6;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011230164;05-05-2025;QS0011230164;NL;AEX5L;AEX X5 Leverage NR;XAMS;117991.735;131194.572;131194.57161382;3;20250502;20250505;5;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011230156;05-05-2025;QS0011230156;NL;AEX4L;AEX X4 Leverage NR;XAMS;235607.121;256704.429;256704.42863417;3;20250502;20250505;4;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011230115;05-05-2025;QS0011230115;NL;AEX3L;AEX X3 Leverage NR;XAMS;258640.391;276019.109;276019.10944598;3;20250502;20250505;3;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011216213;05-05-2025;QS0011216213;FR;CACGL;CAC 40 Leverage GR;XPAR;7259.074;7595.725;7595.72545425;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011216205;05-05-2025;QS0011216205;NL;AEXNL;AEX Leverage NR;XAMS;8038.924;8399.395;8399.39505361;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011179254;05-05-2025;QS0011179254;PT;PSITL;PSI Leverage GR;XLIS;2649.348;2669.081;2669.08052709;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
QS0011179247;05-05-2025;QS0011179247;BE;BELTL;BEL 20 Leverage GR;XBRU;7480.514;7726.068;7726.06787638;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
