2024-12-06 09:29:38 - Starting folder monitor...
2024-12-06 09:35:12 - Monitoring stopped
2024-12-06 09:36:23 - Starting folder monitor...
2024-12-06 09:40:50 - Skipped New Text Document.txt - date not within 30 day range
2024-12-06 09:43:49 - Monitoring stopped
2024-12-06 09:44:08 - Starting folder monitor...
2024-12-06 09:44:10 - Copied OsloIndexTrades_20241107.csv to destination
2024-12-06 09:44:11 - Copied OsloIndexTrades_20241108.csv to destination
2024-12-06 09:44:12 - Copied OsloIndexTrades_20241111.csv to destination
2024-12-06 09:44:14 - Copied OsloIndexTrades_20241112.csv to destination
2024-12-06 09:44:15 - Copied OsloIndexTrades_20241113.csv to destination
2024-12-06 09:44:16 - Copied OsloIndexTrades_20241114.csv to destination
2024-12-06 09:44:17 - Copied OsloIndexTrades_20241115.csv to destination
2024-12-06 09:44:18 - Copied OsloIndexTrades_20241118.csv to destination
2024-12-06 09:44:20 - Copied OsloIndexTrades_20241119.csv to destination
2024-12-06 09:44:21 - Copied OsloIndexTrades_20241120.csv to destination
2024-12-06 09:44:22 - Copied OsloIndexTrades_20241121.csv to destination
2024-12-06 09:44:23 - Copied OsloIndexTrades_20241122.csv to destination
2024-12-06 09:44:24 - Copied OsloIndexTrades_20241125.csv to destination
2024-12-06 09:44:25 - Copied OsloIndexTrades_20241126.csv to destination
2024-12-06 09:44:26 - Copied OsloIndexTrades_20241127.csv to destination
2024-12-06 09:44:27 - Copied OsloIndexTrades_20241128.csv to destination
2024-12-06 09:44:28 - Copied OsloIndexTrades_20241129.csv to destination
2024-12-06 09:44:29 - Copied OsloIndexTrades_20241202.csv to destination
2024-12-06 09:44:30 - Copied OsloIndexTrades_20241203.csv to destination
2024-12-06 09:44:31 - Copied OsloIndexTrades_20241204.csv to destination
2024-12-06 09:44:32 - Copied TAllEquities_GIS_EOD_INDEX_20241107.csv to destination
2024-12-06 09:44:33 - Copied TAllEquities_GIS_EOD_INDEX_20241108.csv to destination
2024-12-06 09:44:34 - Copied TAllEquities_GIS_EOD_INDEX_20241111.csv to destination
2024-12-06 09:44:35 - Copied TAllEquities_GIS_EOD_INDEX_20241112.csv to destination
2024-12-06 09:44:36 - Copied TAllEquities_GIS_EOD_INDEX_20241113.csv to destination
2024-12-06 09:44:37 - Copied TAllEquities_GIS_EOD_INDEX_20241114.csv to destination
2024-12-06 09:44:38 - Copied TAllEquities_GIS_EOD_INDEX_20241115.csv to destination
2024-12-06 09:44:39 - Copied TAllEquities_GIS_EOD_INDEX_20241118.csv to destination
2024-12-06 09:44:40 - Copied TAllEquities_GIS_EOD_INDEX_20241119.csv to destination
2024-12-06 09:44:41 - Copied TAllEquities_GIS_EOD_INDEX_20241120.csv to destination
2024-12-06 09:44:42 - Copied TAllEquities_GIS_EOD_INDEX_20241121.csv to destination
2024-12-06 09:44:43 - Copied TAllEquities_GIS_EOD_INDEX_20241122.csv to destination
2024-12-06 09:44:44 - Copied TAllEquities_GIS_EOD_INDEX_20241125.csv to destination
2024-12-06 09:44:45 - Copied TAllEquities_GIS_EOD_INDEX_20241126.csv to destination
2024-12-06 09:44:46 - Copied TAllEquities_GIS_EOD_INDEX_20241127.csv to destination
2024-12-06 09:44:47 - Copied TAllEquities_GIS_EOD_INDEX_20241128.csv to destination
2024-12-06 09:44:48 - Copied TAllEquities_GIS_EOD_INDEX_20241129.csv to destination
2024-12-06 09:44:49 - Copied TAllEquities_GIS_EOD_INDEX_20241202.csv to destination
2024-12-06 09:44:50 - Copied TAllEquities_GIS_EOD_INDEX_20241203.csv to destination
2024-12-06 09:44:51 - Copied TAllEquities_GIS_EOD_STOCK_20241107.csv to destination
2024-12-06 09:44:52 - Copied TAllEquities_GIS_EOD_STOCK_20241108.csv to destination
2024-12-06 09:44:54 - Copied TAllEquities_GIS_EOD_STOCK_20241111.csv to destination
2024-12-06 09:44:55 - Copied TAllEquities_GIS_EOD_STOCK_20241112.csv to destination
2024-12-06 09:44:56 - Copied TAllEquities_GIS_EOD_STOCK_20241113.csv to destination
2024-12-06 09:44:57 - Copied TAllEquities_GIS_EOD_STOCK_20241114.csv to destination
2024-12-06 09:44:58 - Copied TAllEquities_GIS_EOD_STOCK_20241115.csv to destination
2024-12-06 09:44:59 - Copied TAllEquities_GIS_EOD_STOCK_20241118.csv to destination
2024-12-06 09:45:00 - Copied TAllEquities_GIS_EOD_STOCK_20241119.csv to destination
2024-12-06 09:45:01 - Copied TAllEquities_GIS_EOD_STOCK_20241120.csv to destination
2024-12-06 09:45:02 - Copied TAllEquities_GIS_EOD_STOCK_20241121.csv to destination
2024-12-06 09:45:03 - Copied TAllEquities_GIS_EOD_STOCK_20241122.csv to destination
2024-12-06 09:45:04 - Copied TAllEquities_GIS_EOD_STOCK_20241125.csv to destination
2024-12-06 09:45:05 - Copied TAllEquities_GIS_EOD_STOCK_20241126.csv to destination
2024-12-06 09:45:06 - Copied TAllEquities_GIS_EOD_STOCK_20241127.csv to destination
2024-12-06 09:45:07 - Copied TAllEquities_GIS_EOD_STOCK_20241128.csv to destination
2024-12-06 09:45:08 - Copied TAllEquities_GIS_EOD_STOCK_20241129.csv to destination
2024-12-06 09:45:10 - Copied TAllEquities_GIS_EOD_STOCK_20241202.csv to destination
2024-12-06 09:45:11 - Copied TAllEquities_GIS_EOD_STOCK_20241203.csv to destination
2024-12-06 09:45:12 - Copied TAllEquities_GIS_MANUAL_INDEX_20241112.csv to destination
2024-12-06 09:45:13 - Copied TAllEquities_GIS_MANUAL_STOCK_20241112.csv to destination
2024-12-06 09:45:14 - Copied TAllEquities_GIS_NXTD_INDEX_20241107.csv to destination
2024-12-06 09:45:15 - Copied TAllEquities_GIS_NXTD_INDEX_20241108.csv to destination
2024-12-06 09:45:16 - Copied TAllEquities_GIS_NXTD_INDEX_20241111.csv to destination
2024-12-06 09:45:17 - Copied TAllEquities_GIS_NXTD_INDEX_20241112.csv to destination
2024-12-06 09:45:18 - Copied TAllEquities_GIS_NXTD_INDEX_20241113.csv to destination
2024-12-06 09:45:19 - Copied TAllEquities_GIS_NXTD_INDEX_20241114.csv to destination
2024-12-06 09:45:20 - Copied TAllEquities_GIS_NXTD_INDEX_20241115.csv to destination
2024-12-06 09:45:21 - Copied TAllEquities_GIS_NXTD_INDEX_20241118.csv to destination
2024-12-06 09:45:22 - Copied TAllEquities_GIS_NXTD_INDEX_20241119.csv to destination
2024-12-06 09:45:22 - Copied TAllEquities_GIS_NXTD_INDEX_20241120.csv to destination
2024-12-06 09:45:23 - Copied TAllEquities_GIS_NXTD_INDEX_20241121.csv to destination
2024-12-06 09:45:24 - Copied TAllEquities_GIS_NXTD_INDEX_20241122.csv to destination
2024-12-06 09:45:25 - Copied TAllEquities_GIS_NXTD_INDEX_20241125.csv to destination
2024-12-06 09:45:26 - Copied TAllEquities_GIS_NXTD_INDEX_20241126.csv to destination
2024-12-06 09:45:27 - Copied TAllEquities_GIS_NXTD_INDEX_20241127.csv to destination
2024-12-06 09:45:28 - Copied TAllEquities_GIS_NXTD_INDEX_20241128.csv to destination
2024-12-06 09:45:29 - Copied TAllEquities_GIS_NXTD_INDEX_20241129.csv to destination
2024-12-06 09:45:30 - Copied TAllEquities_GIS_NXTD_INDEX_20241202.csv to destination
2024-12-06 09:45:31 - Copied TAllEquities_GIS_NXTD_INDEX_20241203.csv to destination
2024-12-06 09:45:33 - Copied TAllEquities_GIS_NXTD_STOCK_20241107.csv to destination
2024-12-06 09:45:34 - Copied TAllEquities_GIS_NXTD_STOCK_20241108.csv to destination
2024-12-06 09:45:35 - Copied TAllEquities_GIS_NXTD_STOCK_20241111.csv to destination
2024-12-06 09:45:36 - Copied TAllEquities_GIS_NXTD_STOCK_20241112.csv to destination
2024-12-06 09:45:37 - Copied TAllEquities_GIS_NXTD_STOCK_20241113.csv to destination
2024-12-06 09:45:38 - Copied TAllEquities_GIS_NXTD_STOCK_20241114.csv to destination
2024-12-06 09:45:39 - Copied TAllEquities_GIS_NXTD_STOCK_20241115.csv to destination
2024-12-06 09:45:41 - Copied TAllEquities_GIS_NXTD_STOCK_20241118.csv to destination
2024-12-06 09:45:42 - Copied TAllEquities_GIS_NXTD_STOCK_20241119.csv to destination
2024-12-06 09:45:43 - Copied TAllEquities_GIS_NXTD_STOCK_20241120.csv to destination
2024-12-06 09:45:44 - Copied TAllEquities_GIS_NXTD_STOCK_20241121.csv to destination
2024-12-06 09:45:45 - Copied TAllEquities_GIS_NXTD_STOCK_20241122.csv to destination
2024-12-06 09:45:46 - Copied TAllEquities_GIS_NXTD_STOCK_20241125.csv to destination
2024-12-06 09:45:47 - Copied TAllEquities_GIS_NXTD_STOCK_20241126.csv to destination
2024-12-06 09:45:48 - Copied TAllEquities_GIS_NXTD_STOCK_20241127.csv to destination
2024-12-06 09:45:50 - Copied TAllEquities_GIS_NXTD_STOCK_20241128.csv to destination
2024-12-06 09:45:51 - Copied TAllEquities_GIS_NXTD_STOCK_20241129.csv to destination
2024-12-06 09:45:52 - Copied TAllEquities_GIS_NXTD_STOCK_20241202.csv to destination
2024-12-06 09:45:53 - Copied TAllEquities_GIS_NXTD_STOCK_20241203.csv to destination
2024-12-06 09:45:54 - Copied TAllEquities_GIS_SOD_INDEX_20241107.csv to destination
2024-12-06 09:45:55 - Copied TAllEquities_GIS_SOD_INDEX_20241108.csv to destination
2024-12-06 09:45:56 - Copied TAllEquities_GIS_SOD_INDEX_20241111.csv to destination
2024-12-06 09:45:57 - Copied TAllEquities_GIS_SOD_INDEX_20241112.csv to destination
2024-12-06 09:45:58 - Copied TAllEquities_GIS_SOD_INDEX_20241113.csv to destination
2024-12-06 09:45:59 - Copied TAllEquities_GIS_SOD_INDEX_20241114.csv to destination
2024-12-06 09:46:00 - Copied TAllEquities_GIS_SOD_INDEX_20241115.csv to destination
2024-12-06 09:46:01 - Copied TAllEquities_GIS_SOD_INDEX_20241118.csv to destination
2024-12-06 09:46:02 - Copied TAllEquities_GIS_SOD_INDEX_20241119.csv to destination
2024-12-06 09:46:03 - Copied TAllEquities_GIS_SOD_INDEX_20241120.csv to destination
2024-12-06 09:46:04 - Copied TAllEquities_GIS_SOD_INDEX_20241121.csv to destination
2024-12-06 09:46:05 - Copied TAllEquities_GIS_SOD_INDEX_20241122.csv to destination
2024-12-06 09:46:06 - Copied TAllEquities_GIS_SOD_INDEX_20241125.csv to destination
2024-12-06 09:46:07 - Copied TAllEquities_GIS_SOD_INDEX_20241126.csv to destination
2024-12-06 09:46:08 - Copied TAllEquities_GIS_SOD_INDEX_20241127.csv to destination
2024-12-06 09:46:09 - Copied TAllEquities_GIS_SOD_INDEX_20241128.csv to destination
2024-12-06 09:46:10 - Copied TAllEquities_GIS_SOD_INDEX_20241129.csv to destination
2024-12-06 09:46:11 - Copied TAllEquities_GIS_SOD_INDEX_20241202.csv to destination
2024-12-06 09:46:13 - Copied TAllEquities_GIS_SOD_INDEX_20241203.csv to destination
2024-12-06 09:46:14 - Copied TAllEquities_GIS_SOD_INDEX_20241204.csv to destination
2024-12-06 09:46:15 - Copied TAllEquities_GIS_SOD_STOCK_20241107.csv to destination
2024-12-06 09:46:16 - Copied TAllEquities_GIS_SOD_STOCK_20241108.csv to destination
2024-12-06 09:46:17 - Copied TAllEquities_GIS_SOD_STOCK_20241111.csv to destination
2024-12-06 09:46:18 - Copied TAllEquities_GIS_SOD_STOCK_20241112.csv to destination
2024-12-06 09:46:20 - Copied TAllEquities_GIS_SOD_STOCK_20241113.csv to destination
2024-12-06 09:46:21 - Copied TAllEquities_GIS_SOD_STOCK_20241114.csv to destination
2024-12-06 09:46:22 - Copied TAllEquities_GIS_SOD_STOCK_20241115.csv to destination
2024-12-06 09:46:23 - Copied TAllEquities_GIS_SOD_STOCK_20241118.csv to destination
2024-12-06 09:46:24 - Copied TAllEquities_GIS_SOD_STOCK_20241119.csv to destination
2024-12-06 09:46:25 - Copied TAllEquities_GIS_SOD_STOCK_20241120.csv to destination
2024-12-06 09:46:26 - Copied TAllEquities_GIS_SOD_STOCK_20241121.csv to destination
2024-12-06 09:46:27 - Copied TAllEquities_GIS_SOD_STOCK_20241122.csv to destination
2024-12-06 09:46:29 - Copied TAllEquities_GIS_SOD_STOCK_20241125.csv to destination
