#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements
WLSNc.AS;08-11-24;;NL0000395903;NL;WKL;WOLTERS KLUWER;XAMS;40301030;161.85;161.85;0;0;ENVB;626.93567;1;1;EUR;1;1;101469.5382;5.59489;;;;;0;0;
UMI.BR;08-11-24;;BE0974320526;BE;UMI;UMICORE;XBRU;55201020;10.68;10.68;0;0;ENVB;5232.32865;1;1;EUR;1;1;55881.26998;3.08121;;;;;0;0;
STMPA.PA;08-11-24;;NL0000226223;FR;STMPA;STMICROELECTRONICS;XPAR;10102010;24.66;24.66;0;0;ENVB;2900.47603;1;1;EUR;1;1;71525.7389;3.94383;;;;;0;0;
SOLB.BR;08-11-24;;BE0003470755;BE;SOLB;SOLVAY;XBRU;55201000;33.55;33.55;0;0;ENVB;3131.17147;1;1;EUR;1;1;105050.8028;5.79235;;;;;0;0;
RAND.AS;08-11-24;;NL0000379121;NL;RAND;RANDSTAD NV;XAMS;50205025;42;42;0;0;ENVB;1948.6057;1;1;EUR;1;1;81841.4394;4.51262;;;;;0;0;
LIGHT.AS;08-11-24;;NL0011821392;NL;LIGHT;SIGNIFY NV;XAMS;50101035;21.68;21.68;0;0;ENVB;4266.40663;1;1;EUR;1;1;92495.69574;5.10008;;;;;0;0;
KPN.AS;08-11-24;;NL0000009082;NL;KPN;KPN KON;XAMS;15102015;3.618;3.618;0;0;ENVB;27915.40963;1;1;EUR;1;1;100997.952;5.56888;;;;;0;0;
KBC.BR;08-11-24;;BE0003565737;BE;KBC;KBC;XBRU;30101010;68.84;68.84;0;0;ENVB;1542.45075;1;1;EUR;1;1;106182.3096;5.85474;;;;;0;0;
HEIO.AS;08-11-24;;NL0000008977;NL;HEIO;HEINEKEN HOLDING;XAMS;45101010;61.85;61.85;0;0;ENVB;1160.23518;1;1;EUR;1;1;71760.54588;3.95678;;;;;0;0;
HEIN.AS;08-11-24;;NL0000009165;NL;HEIA;HEINEKEN;XAMS;45101010;72.58;72.58;0;0;ENVB;984.22219;1;1;EUR;1;1;71434.84655;3.93882;;;;;0;0;
