#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag
QS0011256193;17-09-2024;;QS0011256193;NL;ENVG;EN Vigeo US 50 GR;XAMS;;5667.46;5663.66;5663.66118373;;;;;QS0011256169;;;.18700231607232;;US2788651006;WM ;TR1;Indices;;;;;0
QS0011256185;17-09-2024;;QS0011256185;NL;ENVN;EN Vigeo US 50 NR;XAMS;;5107.99;5104.49;5104.49110401;;;;;QS0011256169;;;;.13090162125062;US2788651006;WM ;TR1;Indices;;;;;0
QS0011256169;17-09-2024;;QS0011256169;NL;ENVU;EN Vigeo US 50;XAMS;839.249863297445;3984.92;3982.06;3982.05659971;3341940.4569468;51;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0
QS0011250865;17-09-2024;;QS0011250865;NL;ENVWG;EN Vigeo W 120 GR;XAMS;;3104.00;3112.17;3112.17048098;;;;;QS0011250840;;;.03417060929187;;US2788651006;WM ;TR1;Indices;;;;;0
QS0011250857;17-09-2024;;QS0011250857;NL;ENVWN;EN Vigeo W 120 NR;XAMS;;2803.48;2810.84;2810.8433787;;;;;QS0011250840;;;;.02391942650431;US2788651006;WM ;TR1;Indices;;;;;0
QS0011250840;17-09-2024;;QS0011250840;NL;ENVW;EN Vigeo World 120;XAMS;859.798224522516;1978.29;1983.46;1983.45778587;1705373.48270551;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0
NL0015436130;17-09-2024;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;6808.37;6807.65;6807.6466273;;;;;NL0015436114;;;.09913283629338;;US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NL0015436122;17-09-2024;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6080.78;6080.1;6080.10304472;;;;;NL0015436114;;;;.06939298540537;US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NL0015436114;17-09-2024;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9504264056.04769;4619.96;4619.37;4619.37322652;43903742918259.753870;501;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0
NL0015000I97;17-09-2024;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;4919.14;4917.78;4917.7825753;;;;;NL0015000IB0;;;.05247418771124;;AU000000COH5 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
