#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag
QS0011256250;17-09-2024;;QS0011256250;NL;ENVBG;Euronext Vigeo Benelux 20 GR Index;XAMS;;3288.84;3312.2;3312.20352302;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0
QS0011256243;17-09-2024;;QS0011256243;NL;ENVBN;Euronext Vigeo Benelux 20 NR Index;XAMS;;3027.47;3048.98;3048.98021282;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0
QS0011256235;17-09-2024;;QS0011256235;NL;ENVB;Euronext Vigeo Benelux 20 Index;XAMS;887.349717979605;2085.91;2100.73;2100.72783923;1864080.25568972;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0
QS0011256227;17-09-2024;;QS0011256227;NL;ENVOG;Euronext Vigeo Euro 120 GR Index;XAMS;;3009.07;3029.47;3029.47337279;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0
QS0011256219;17-09-2024;;QS0011256219;NL;ENVON;Euronext Vigeo Euro 120 NR Index;XAMS;;2664.85;2682.92;2682.92051143;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0
QS0011256201;17-09-2024;;QS0011256201;NL;ENVEO;Euronext Vigeo Euro 120 Index;XAMS;818.745285851682;1852.15;1864.71;1864.71052802;1526722.95429156;119;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0
QS0011250956;17-09-2024;;QS0011250956;NL;ENVUG;Euronext Vigeo UK 20 GR Index;XAMS;;1977.37;1991.99;1991.98622432;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0
QS0011250949;17-09-2024;;QS0011250949;NL;ENVUN;Euronext Vigeo UK 20 NR Index;XAMS;;1951.77;1966.19;1966.19189743;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0
QS0011250931;17-09-2024;;QS0011250931;NL;ENVUK;Euronext Vigeo UK 20 Index;XAMS;76071.1099022164;1213.24;1222.21;1222.20742033;92974674.995219;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0
QS0011250923;17-09-2024;;QS0011250923;NL;ENVFG;Euronext Vigeo France 20 GR Index;XAMS;;2351.93;2367.68;2367.68116339;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0
QS0011250915;17-09-2024;;QS0011250915;NL;ENVFN;Euronext Vigeo France 20 NR Index;XAMS;;2043.97;2057.65;2057.65351034;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0
QS0011250907;17-09-2024;;QS0011250907;NL;ENVF;Euronext Vigeo France 20 Index;XAMS;807.708812782302;1437.26;1446.88;1446.88161474;1168659.03127425;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0
QS0011250899;17-09-2024;;QS0011250899;NL;ENVEG;Euronext Vigeo Europe 120 GR Index;XAMS;;2931.53;2952.04;2952.04489735;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0
QS0011250881;17-09-2024;;QS0011250881;NL;ENVEN;Euronext Vigeo Europe 120 NR Index;XAMS;;2636.47;2654.92;2654.92074628;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0
QS0011250873;17-09-2024;;QS0011250873;NL;ENVEU;Euronext Vigeo Europe 120 Index;XAMS;864.17630068221;1797.63;1810.22;1810.21683081;1564346.48428293;119;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0
QS0011249503;17-09-2024;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8408437.76136;1448.13;1441.33;1441.32653061;12119304426.45;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0
QS0011249495;17-09-2024;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2303.21;2292.39;2292.38811844;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0
QS0011249248;17-09-2024;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;87468830.4724431;1680.23;1685.15;1685.15256588;147398324105.4;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0
QS0011249230;17-09-2024;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2687.34;2695.21;2695.21450527;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0
