#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;08-11-2024;;QS0011256193;NL;ENVG;EN Vigeo US 50 GR;XAMS;;5748.06;5764.08;5764.07671702;;;;;QS0011256169;;;1.23239087419837;;US0255371017 US20825C1045;WM ;TR1;Indices;;;;;0;
QS0011256185;08-11-2024;;QS0011256185;NL;ENVN;EN Vigeo US 50 NR;XAMS;;5176.93;5190.88;5190.87839702;;;;;QS0011256169;;;;.86267361193886;US0255371017 US20825C1045;WM ;TR1;Indices;;;;;0;
QS0011256169;08-11-2024;;QS0011256169;NL;ENVU;EN Vigeo US 50;XAMS;839.249863297445;4031.90;4041.9;4041.89883431;3392163.04416005;51;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;08-11-2024;;QS0011250865;NL;ENVWG;EN Vigeo W 120 GR;XAMS;;3017.75;3005.95;3005.94546893;;;;;QS0011250840;;;0;;;WM ;TR1;Indices;;;;;0;
QS0011250857;08-11-2024;;QS0011250857;NL;ENVWN;EN Vigeo W 120 NR;XAMS;;2724.35;2713.69;2713.69148383;;;;;QS0011250840;;;;0;;WM ;TR1;Indices;;;;;0;
QS0011250840;08-11-2024;;QS0011250840;NL;ENVW;EN Vigeo World 120;XAMS;859.798224522516;1918.64;1911.14;1911.13678438;1643192.01403228;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;08-11-2024;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;7445.50;7520.14;7520.13851806;;;;;NL0015436114;;;1.16013641206605;;US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015436122;08-11-2024;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6647.37;6713.55;6713.55131227;;;;;NL0015436114;;;;.81209548844624;US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015436114;08-11-2024;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9546144193.13443;5045.91;5095.33;5095.33280584;48640781676593.405652;502;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;08-11-2024;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5262.32;5300.35;5300.34556518;;;;;NL0015000IB0;;;.58693995593487;;SE0007100581 SE0015811963 US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015000I89;08-11-2024;;NL0015000I89;NL;ENDMP;Euronext Developed Market;XAMS;19625389576.6312;3312.97;3336.27;3336.27344247;65475666042712.275827;1551;EUR;1;;NL0015000I63;NL0015000I71;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I71;08-11-2024;;NL0015000I71;NL;ENDMN;Euronext Developed Market NR;XAMS;;4719.90;4753.68;4753.67542655;;;;;NL0015000I89;;;;.41006293621123;SE0007100581 SE0015811963 US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015000I63;08-11-2024;;NL0015000I63;NL;ENDMG;Euronext Developed Market GR;XAMS;;5262.70;5300.64;5300.64067483;;;;;NL0015000I89;;;.58580419458747;;SE0007100581 SE0015811963 US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015000IB0;08-11-2024;;NL0015000IB0;NL;ENWP;Euronext World;XAMS;19587413360.0126;3313.40;3336.76;3336.75556063;65358410447388.490627;1501;EUR;1;;NL0015000I97;NL0015000IA2;;;;ECB;EU Price;Indices;;;;;0;
NL0015000IA2;08-11-2024;;NL0015000IA2;NL;ENWN;Euronext World NR;XAMS;;4719.83;4753.68;4753.68030908;;;;;NL0015000IB0;;;;.41085796915441;SE0007100581 SE0015811963 US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015000E91;08-11-2024;;NL0015000E91;FR;EWCSP;Euronext World Country selection;XPAR;15466127621.7248;3709.34;3741.08;3741.07638316;57859964784554.999645;1103;EUR;1;;NL0015000E75;NL0015000EB9;;;;ECB;EU Price;Indices;;;;;0;
NL0015000E75;08-11-2024;;NL0015000E75;FR;EWCSG;Euronext World Country selection GR;XPAR;;5699.73;5749.6;5749.59539633;;;;;NL0015000E91;;;.7160699655505;;US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015000EG8;08-11-2024;;NL0015000EG8;FR;EVEWN;EN V.E ESG World-Select 75 Bund/SV NR;XPAR;;5682.49;5731.36;5731.35739695;;;;;NL0015000ED5;;;;.07453732508261;US20825C1045;ECB;TR1;Indices;;;;;0;
NL0015000ED5;08-11-2024;;NL0015000ED5;FR;EVEWP;EN V.E ESG World-Select 75 Bund/SV;XPAR;350719.320882346;4238.55;4274.92;4274.92024607;1499297125.52921203;75;EUR;1;;NL0015000EA1;NL0015000EG8;;;;ECB;EU Price;Indices;;;;;0;
NL0015000EB9;08-11-2024;;NL0015000EB9;FR;EWCSN;Euronext World Country selection NR;XPAR;;5138.44;5183.09;5183.09460438;;;;;NL0015000E91;;;;.50124897588535;US0255371017 US0378331005 US16411R2085 US20825C1045 US29273V1008 US30161N1019 US3848021040 US4432011082 US5745991068 US7010941042 US7170811035 US8085131055 US89832Q1094 US9497461015;ECB;TR1;Indices;;;;;0;
NL0015000EA1;08-11-2024;;NL0015000EA1;FR;EVEWG;EN V.E ESG World-Select 75 Bund/SV GR;XPAR;;6306.02;6360.3;6360.29708804;;;;;NL0015000ED5;;;.10648189297517;;US20825C1045;ECB;TR1;Indices;;;;;0;
NL0015000BX9;08-11-2024;;NL0015000BX9;FR;ETE5P;EN Transatlantic Environment 50;XPAR;395455542.14797;5286.57;5287.96;5287.95723016;2091151993306.4521777;50;EUR;1;;NL0015000BV3;NL0015000BQ3;;;;ECB;EU Price;Indices;;;;;0;
NL0015000BW1;08-11-2024;;NL0015000BW1;FR;ETE5D;EN Transatlantic Environment 50 D5%;XPAR;;3332.26;3332.94;3332.94315086;;;;;NL0015000BQ3;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0015000BV3;08-11-2024;;NL0015000BV3;FR;ETE5G;EN Transatlantic Environment 50 GR;XPAR;;7756.66;7759.56;7759.56339525;;;;;NL0015000BX9;;;.59005785519424;;US0378331005;ECB;TR1;Indices;;;;;0;
NL0015000BQ3;08-11-2024;;NL0015000BQ3;FR;ETEGN;EN Transatlantic Environment 50 NR;XPAR;;7004.11;7006.5;7006.49566667;;;;;NL0015000BX9;;;;.41304049863596;US0378331005;ECB;TR1;Indices;;;;;0;
NL0015000A95;08-11-2024;;NL0015000A95;FR;EUED5;Euronext US ESGL 20 EW Decrement 5%;XPAR;;1650.74;1655.88;1655.87655293;;;;;NL0015000A79;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0015000A87;08-11-2024;;NL0015000A87;FR;EUEGR;Euronext US ESGL 20 EW GR;XPAR;;4858.49;4874.27;4874.26785194;;;;;NL0015000A61;;;0;;;WM ;TR1;Indices;;;;;0;
NL0015000A79;08-11-2024;;NL0015000A79;FR;EUENR;Euronext US ESGL 20 EW NR;XPAR;;4240.30;4254.07;4254.07230834;;;;;NL0015000A61;;;;0;;WM ;TR1;Indices;;;;;0;
NL0015000A61;08-11-2024;;NL0015000A61;FR;EUEPR;Euronext US ESGL 20 EW;XPAR;1018409.95013085;3056.10;3066.02;3066.02103652;3122466330.9;20;USD;1;;NL0015000A87;NL0015000A79;;;;WM ;EU Price;Indices;;;;;0;
