RIC;ISIN;CUSIP;Company Name;Country of Exchange;Country of Evaluation;Sector;Group;total_score;pct_women_board_score;pct_female_exec_score;pct_women_senior_mgt_score;pct_women_emplys_score;prmtn_career_devl_score;cat_score_A;living_wage_policy_score;eq_pay_score;parental_leave_score;flex_score;cat_score_B;training_policy_score;equal_opportunity_policy_score;anti_abuse_policy_score;health_safety_policy_score;human_rights_policy_score;social_supply_chain_mgmt_score;sup_dvsty_program_score;emp_prot_whistle_blower_policy_score;cat_score_C;wmns_empo_principle_score;certificate_score;cat_score_D;date_latest_research
TCL.AX;AU000000TCL6;Q9194A106;Transurban Group;Australia;Australia;Industrials;Transportation;80.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;40.0000000000000;0.0000000000000;25.0000000000000;100.0000000000000;100.0000000000000;15.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;0.0000000000000;66.6666666666667;5.0000000000000;11-11-2024
ENAG.MC;ES0130960018;E41759106;Enagas SA;Spain;Spain;Utilities;Utilities;79.1515151515152;100.0000000000000;100.0000000000000;100.0000000000000;66.6666666666667;100.0000000000000;37.3333333333333;100.0000000000000;50.0000000000000;100.0000000000000;100.0000000000000;21.8181818181818;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;0.0000000000000;100.0000000000000;17.5000000000000;100.0000000000000;0.0000000000000;2.5000000000000;19-08-2024
STB.OL;NO0003053605;R85746106;Storebrand ASA;Norway;Norway;Financials;Insurance;79.0909090909091;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;40.0000000000000;100.0000000000000;33.3333333333333;100.0000000000000;100.0000000000000;19.0909090909091;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;0.0000000000000;100.0000000000000;17.5000000000000;100.0000000000000;0.0000000000000;2.5000000000000;16-09-2024
QBE.AX;AU000000QBE9;Q78063114;QBE Insurance Group Ltd;Australia;Australia;Financials;Insurance;78.9242424242424;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;66.6666666666667;37.3333333333333;100.0000000000000;33.3333333333333;100.0000000000000;100.0000000000000;19.0909090909091;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;100.0000000000000;0.0000000000000;2.5000000000000;21-08-2024
GPT.AX;AU000000GPT8;Q4252X155;GPT Group;Australia;Australia;Real Estate;Equity Real Estate Investment Trusts (REITs);78.6969696969697;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;66.6666666666667;37.3333333333333;0.0000000000000;33.3333333333333;100.0000000000000;100.0000000000000;16.3636363636364;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;0.0000000000000;100.0000000000000;17.5000000000000;100.0000000000000;66.6666666666667;7.5000000000000;19-08-2024
ALVG.DE;DE0008404005;D03080112;Allianz SE;Germany;Germany;Financials;Insurance;78.5909090909091;100.0000000000000;100.0000000000000;66.6666666666667;100.0000000000000;33.3333333333333;32.0000000000000;100.0000000000000;33.3333333333333;100.0000000000000;100.0000000000000;19.0909090909091;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;100.0000000000000;66.6666666666667;7.5000000000000;04-09-2024
SASY.PA;FR0000120578;F5548N101;Sanofi SA;France;France;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;77.5606060606061;100.0000000000000;66.6666666666667;100.0000000000000;100.0000000000000;100.0000000000000;37.3333333333333;100.0000000000000;25.0000000000000;100.0000000000000;100.0000000000000;17.7272727272727;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;100.0000000000000;0.0000000000000;2.5000000000000;14-08-2024
AZN.L;GB0009895292;G0593M107;AstraZeneca PLC;United Kingdom;United Kingdom;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;77.5000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;40.0000000000000;100.0000000000000;25.0000000000000;100.0000000000000;50.0000000000000;15.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;100.0000000000000;0.0000000000000;2.5000000000000;02-04-2024
QAN.AX;AU000000QAN2;Q77974550;Qantas Airways Ltd;Australia;Australia;Industrials;Transportation;77.5000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;40.0000000000000;0.0000000000000;25.0000000000000;100.0000000000000;100.0000000000000;15.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;100.0000000000000;0.0000000000000;2.5000000000000;16-09-2024
STAN.L;GB0004082847;G84228157;Standard Chartered PLC;United Kingdom;United Kingdom;Financials;Banks;77.2272727272727;100.0000000000000;100.0000000000000;66.6666666666667;100.0000000000000;33.3333333333333;32.0000000000000;100.0000000000000;25.0000000000000;100.0000000000000;100.0000000000000;17.7272727272727;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;100.0000000000000;20.0000000000000;100.0000000000000;66.6666666666667;7.5000000000000;07-08-2024
