#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;17-12-2024;;QS0011256250;NL;ENVBG;Euronext Vigeo Benelux 20 GR Index;XAMS;;3192.61;3169.57;3169.56652538;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;17-12-2024;;QS0011256243;NL;ENVBN;Euronext Vigeo Benelux 20 NR Index;XAMS;;2936.57;2915.38;2915.3763695;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;17-12-2024;;QS0011256235;NL;ENVB;Euronext Vigeo Benelux 20 Index;XAMS;885.962564982093;2018.76;2004.19;2004.19394303;1775640.80648855;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;17-12-2024;;QS0011256227;NL;ENVOG;Euronext Vigeo Euro 120 GR Index;XAMS;;2992.07;2973.73;2973.7260448;;;;;QS0011256201;;;.51948560757628;;ES0178430E18;ECB;TR1;Indices;;;;;0;
QS0011256219;17-12-2024;;QS0011256219;NL;ENVON;Euronext Vigeo Euro 120 NR Index;XAMS;;2646.67;2630.31;2630.3085107;;;;;QS0011256201;;;;.42078334213678;ES0178430E18;ECB;TR1;Indices;;;;;0;
QS0011256201;17-12-2024;;QS0011256201;NL;ENVEO;Euronext Vigeo Euro 120 Index;XAMS;818.397824308493;1833.03;1821.27;1821.27384026;1490526.54833513;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;17-12-2024;;QS0011250956;NL;ENVUG;Euronext Vigeo UK 20 GR Index;XAMS;;1922.57;1906.09;1906.08929768;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;17-12-2024;;QS0011250949;NL;ENVUN;Euronext Vigeo UK 20 NR Index;XAMS;;1896.83;1880.57;1880.56716919;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;17-12-2024;;QS0011250931;NL;ENVUK;Euronext Vigeo UK 20 Index;XAMS;76177.3820347972;1173.31;1163.25;1163.24693214;88613105.950261;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;17-12-2024;;QS0011250923;NL;ENVFG;Euronext Vigeo France 20 GR Index;XAMS;;2334.89;2324.98;2324.97515441;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;17-12-2024;;QS0011250915;NL;ENVFN;Euronext Vigeo France 20 NR Index;XAMS;;2029.15;2020.54;2020.53948894;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;17-12-2024;;QS0011250907;NL;ENVF;Euronext Vigeo France 20 Index;XAMS;808.362721544621;1426.84;1420.78;1420.78412314;1148508.92050845;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;17-12-2024;;QS0011250899;NL;ENVEG;Euronext Vigeo Europe 120 GR Index;XAMS;;2906.00;2887.28;2887.2842141;;;;;QS0011250873;;;.49915454216649;;ES0178430E18;ECB;TR1;Indices;;;;;0;
QS0011250881;17-12-2024;;QS0011250881;NL;ENVEN;Euronext Vigeo Europe 120 NR Index;XAMS;;2610.50;2593.54;2593.54381163;;;;;QS0011250873;;;;.40431517915486;ES0178430E18;ECB;TR1;Indices;;;;;0;
