#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;10-01-2025;;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;5388.61;5318.35;5318.35363878;;;;;QS0011256169;;;.88977774930526;;US00206R1023;WM ;TR1;Indices;;;;;0;
QS0011256185;10-01-2025;;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;4846.79;4783.25;4783.25283372;;;;;QS0011256169;;;;.62284442450655;US00206R1023;WM ;TR1;Indices;;;;;0;
QS0011256169;10-01-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;840.550907981191;3760.56;3710.64;3710.63944553;3118981.3551305;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;10-01-2025;;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;2867.09;2833.74;2833.74232769;;;;;QS0011250840;;;.31508796520781;;ES0144580Y14;WM ;TR1;Indices;;;;;0;
QS0011250857;10-01-2025;;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;2585.02;2554.87;2554.86679453;;;;;QS0011250840;;;;.25522125181588;ES0144580Y14;WM ;TR1;Indices;;;;;0;
QS0011250840;10-01-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;859.730308110439;1811.76;1790.37;1790.37127653;1539236.44920353;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;10-01-2025;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;7770.63;7689.64;7689.63996311;;;;;NL0015436114;;;.84493966397484;;CA25675T1075 CA8911605092 US00206R1023 US2371941053 US3703341046 US4612021034 US5738741041 US57636Q1040 US68389X1054 US7433151039 US92343V1044;ECB;TR1;Indices;;;;;0;
NL0015436122;10-01-2025;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6932.40;6859.82;6859.82043381;;;;;NL0015436114;;;;.59802113022429;CA25675T1075 CA8911605092 US00206R1023 US2371941053 US3703341046 US4612021034 US5738741041 US57636Q1040 US68389X1054 US7433151039 US92343V1044;ECB;TR1;Indices;;;;;0;
NL0015436114;10-01-2025;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9559687274.88685;5252.65;5197.06;5197.05829348;49682252034993.283417;500;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;10-01-2025;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5451.55;5400.45;5400.44575112;;;;;NL0015000IB0;;;.5081663807233;;CA25675T1075 CA8911605092 ES0144580Y14 ES0173516115 US00206R1023 US2371941053 US3703341046 US4612021034 US5738741041 US57636Q1040 US68389X1054 US7433151039 US92343V1044;ECB;TR1;Indices;;;;;0;
