#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
QS0011256250;17-12-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3692.39;3679.27;3679.27441964;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256243;17-12-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3369.93;3357.97;3357.96625577;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256235;17-12-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2248.03;2240.04;2240.04377984;1983158.37;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011256227;17-12-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3568.37;3562.47;3562.47008492;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256219;17-12-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3126.54;3121.36;3121.3648194;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256201;17-12-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.213864065625;2101.46;2097.99;2097.98553824;1716600.854;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250956;17-12-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2055.33;2068.42;2068.41611979;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250949;17-12-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;2023.12;2036.01;2036.00514502;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250931;17-12-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1203.02;1210.68;1210.68208422;91693910.95;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250923;17-12-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2611.30;2609.04;2609.03527263;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250915;17-12-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2244.72;2242.77;2242.77322309;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250907;17-12-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;781.071650981856;1527.25;1525.93;1525.92758084;1191858.77484295;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250899;17-12-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3369.20;3370.65;3370.65240911;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250881;17-12-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2999.96;3001.25;3001.25455065;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250873;17-12-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;863.837371708087;1973.45;1974.3;1974.29977886;1705473.93193763;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011249503;17-12-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1198.55;1190.9;1190.90136054;9739296108.225;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011249495;17-12-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;1991.23;1978.51;1978.51093927;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011249248;17-12-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;81008117.5542451;1495.31;1512.35;1512.35037916;122512657297.99;3;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011249230;17-12-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2524.78;2553.54;2553.54426491;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011227186;17-12-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1146.08;1147.35;1147.35084152;;;;;QS0011040902;;;1.5602892488908;;BMG9551V1081;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011227178;17-12-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1094.98;1096.2;1096.19781846;;;;;QS0011040902;;;;1.5602892488908;BMG9551V1081;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011225420;17-12-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4757.98;4796.11;4796.1101139;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
