#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
QS0011256193;16-12-2025;;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;6364.80;6324.25;6324.25005839;;;;;QS0011256169;;;.74760416766317;;US74340W1036;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011256185;16-12-2025;;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;5692.53;5655.97;5655.97082617;;;;;QS0011256169;;;;.52332291736422;US74340W1036;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011256169;16-12-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;838.960010028441;4354.29;4325.8;4325.80464697;3629177.11;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;;CALCULATED
QS0011250865;16-12-2025;;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;3562.54;3552.48;3552.48346138;;;;;QS0011250840;;;0;;;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011250857;16-12-2025;;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;3188.46;3179.46;3179.45837767;;;;;QS0011250840;;;;0;;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011250840;16-12-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;849.50687603259;2174.16;2168.02;2168.02004978;1841747.93966204;117;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;;CALCULATED
NL0015436130;16-12-2025;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;7925.81;7902.71;7902.7131058;;;;;NL0015436114;;;.18873496226495;;CA11271J1075 US0268747849 US0320951017 US2788651006 US45866F1049 US74340W1036 US7458671010;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015436122;16-12-2025;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;7045.22;7024.62;7024.6192796;;;;;NL0015436114;;;;.13264221721915;CA11271J1075 US0268747849 US0320951017 US2788651006 US45866F1049 US74340W1036 US7458671010;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015436114;16-12-2025;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9570838547.58682;5291.55;5275.94;5275.9441045;50495209210256.135167;501;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NL0015000I97;16-12-2025;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5725.75;5701.37;5701.36795179;;;;;NL0015000IB0;;;.12056011671463;;CA11271J1075 ES0178430E18 US0268747849 US0320951017 US2788651006 US45866F1049 US74340W1036 US7458671010;ECB;TR1;Indices;;;;;0;;CALCULATED
