#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;10-01-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3172.53;3129.48;3129.47928378;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;10-01-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;2918.10;2878.5;2878.50400986;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;10-01-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2006.07;1978.85;1978.84580594;1753183.30593875;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;10-01-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;2994.27;2963.91;2963.90941337;;;;;QS0011256201;;;.28441128109874;;ES0144580Y14;ECB;TR1;Indices;;;;;0;
QS0011256219;10-01-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;2648.06;2621.13;2621.1316887;;;;;QS0011256201;;;;.23037313768436;ES0144580Y14;ECB;TR1;Indices;;;;;0;
QS0011256201;10-01-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.397824308493;1832.55;1813.68;1813.68298051;1484314.20523419;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;10-01-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1883.03;1853.04;1853.04151085;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;10-01-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1857.82;1828.23;1828.22968092;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;10-01-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1148.14;1129.85;1129.85006523;86069020.061427;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;10-01-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2327.72;2311.32;2311.31633743;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;10-01-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2022.92;2008.67;2008.66917754;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;10-01-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;808.362721544621;1422.46;1412.44;1412.43726821;1141761.63413945;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;10-01-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;2901.94;2870.81;2870.80954186;;;;;QS0011250873;;;.27328030145816;;ES0144580Y14;ECB;TR1;Indices;;;;;0;
QS0011250881;10-01-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2606.29;2578.26;2578.26251881;;;;;QS0011250873;;;;.22135704418145;ES0144580Y14;ECB;TR1;Indices;;;;;0;
QS0011250873;10-01-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;865.118280053566;1769.18;1749.93;1749.93035044;1513896.73499032;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;10-01-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1386.90;1376.28;1376.2755102;11255302214.325;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;10-01-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2205.83;2188.93;2188.92635379;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;10-01-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;87468830.4724431;1518.01;1516.63;1516.63028285;132657877100.25;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;10-01-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2478.55;2476.3;2476.29731568;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;10-01-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1059.29;1056.56;1056.5585448;;;;;QS0011040902;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011227178;10-01-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1016.64;1014.02;1014.02220702;;;;;QS0011040902;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011225420;10-01-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4784.28;4710.89;4710.88755586;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;10-01-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6714.38;6717.85;6717.85238163;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;10-01-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;1928.86;1931.82;1931.81621187;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225370;10-01-2025;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;17924549.5421028;36295.25;35843.09;35843.08983005;642471239400.8167;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
QS0011225222;10-01-2025;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;1420723.85790197;7107.71;7054.38;7054.37928381;10022324951.2;6;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
QS0011225214;10-01-2025;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;32460555.4327692;1775.78;1750.91;1750.91228669;56835585339.856;16;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices;;;;;0;
QS0011225206;10-01-2025;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;16090703.1206248;5480.28;5458.86;5458.86028405;87836900207.6877;14;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices;;;;;0;
QS0011225198;10-01-2025;;QS0011225198;BE;BETEP;BEL Telecommunications;XBRU;11082413.9799754;288.86;285.08;285.08099933;3159385652.445;4;EUR;1;;;QS0011016860;;;;ECB;EU Price;Indices;;;;;0;
QS0011225180;10-01-2025;;QS0011225180;BE;BEFIP;BEL Financials;XBRU;145403861.288575;909.14;896.63;896.62553474;130372814881.2;15;EUR;1;;;QS0011016902;;;;ECB;EU Price;Indices;;;;;0;
QS0011225172;10-01-2025;;QS0011225172;BE;BETP;BEL Technology;XBRU;2997809.77401979;1300.60;1291.23;1291.23348896;3870872373.744;6;EUR;1;;;QS0011016936;;;;ECB;EU Price;Indices;;;;;0;
QS0011225164;10-01-2025;;QS0011225164;BE;BEUTP;BEL Utilities;XBRU;49765387.7663054;875.21;862.92;862.92072548;42943584515.24;3;EUR;1;;;QS0011019005;;;;ECB;EU Price;Indices;;;;;0;
