RIC;ISIN;CUSIP;Company;Country;Sector;Group;alarm_bell_start_date;alarm_bell_end_date;comments;
MSFT.OQ;US5949181045;594918104;Microsoft Corp;United States of America;Information Technology;Software & Services;15-12-2023;15-12-2024;"Settlement for gender pay discrimination [Microsoft is the parent company of Acitivision Blizzard] - ""Activision Blizzard will pay $54 million to settle a gender discrimination and harassment lawsuit brought against the company in 2021. 
Recently acquired by Microsoft, Activision Blizzard has come under a great deal of scrutiny in recent years, not only due to concerns of potential monopoly-building but also as a result of repeated allegations of sexism - both of which have resulted in lawsuits for the gaming giant. However, it looks as though a 2021 case raised by the California Civil Rights Department (CRD) has finally come to a head, with both parties willing to settle out of court. Activision Blizzard is set to pay roughly $54 million and also take on ""new obligations"" when it comes to policy surrounding discrimination (via Kotaku)."" https://www.techradar.com/gaming/consoles-pc/activision-blizzard-settles-discrimination-lawsuit-out-of-court-with-dollar54-million-settlement

""On Friday, the California state agency that accused the video game maker Activision Blizzard of fostering a culture of sexual harassment against women withdrew those allegations in a $54 million settlement with the company."" https://www.nytimes.com/2023/12/16/business/dealbook/the-questions-raised-by-californias-dropped-sexual-harassment-suit-against-activision.html";
T.N;US00206R1023;00206R102;AT&T Inc;United States of America;Communication Services;Telecommunication Services;09-01-2024;09-01-2025;"Settlements (2) for pregnancy discrimination and gender pay discrimination - Settlement 1: ""AT&T Mobility Settles Pregnancy Bias Suit Over Attendance Policy. AT&T Mobility Services LLC has settled claims that it discriminated against a salesperson due to her gender, pregnancy, and pregnancy-related disability and violated her right to take medical leave. The terms of the settlement reached Thursday weren’t included in the docket, and counsel for the parties didn’t immediately respond to request for comment. Judge Jon E. DeGuilio of the US District Court for the Northern District of Indiana removed the case from the trial calendar after the parties reached the agreement. Plaintiff Katia Hills alleged that the company selectively enforced its attendance policy against her, retaliated against her."" https://news.bloomberglaw.com/daily-labor-report/at-t-mobility-settles-pregnancy-bias-suit-over-attendance-policy

Settlment 2: ""A consent decree and order resolved allegations by state Attorney General Matthew Platkin and the Division on Civil Rights that AT&T violated provisions of the Equal Pay Act and the New Jersey Law Against Discrimination. The announcement Monday said that the consent decree will give the complainant $162,500 in monetary relief as well as an immediate salary increase of more than $10,000. According to a news release, the consent order followed an investigation by the DCR that found probable cause that a female AT&T employee was paid less than her male colleague for performing a similar job."" https://www.law.com/njlawjournal/2024/01/09/dcr-settlement-reached-with-att-over-pay-disparity-claim/ ";
WMT.N;US9311421039;931142103;Walmart Inc;United States of America;Consumer Staples;Consumer Staples Distribution & Retail;08-02-2024;08-02-2025;"Settlements (2) for gender discrimination and sexual harassment - Settlement 1: ""Walmart will pay $60,000 and provide other relief to settle a sex discrimination lawsuit filed by the U.S. Equal Employment Opportunity Commission (EEOC), the federal agency announced today. The EEOC charged in its suit that Walmart refused to promote an employee to a department manager position at its Ottumwa, Iowa store based on sex stereotypes about women with young children. The EEOC filed suit (Civil Action No. 4:22-cv-00037-SMR-SBJ) in U.S. District Court for the Southern District of Iowa, Central Division, after first attempting to reach a pre-litigation settlement via its conciliation process."" https://www.eeoc.gov/newsroom/walmart-pay-60000-settle-eeoc-sex-discrimination-lawsuit

Settlement 2: ""Walmart Inc., a nationwide retailer of groceries and other goods, agreed to pay $30,000 and provide other relief to settle charges of sexual harassment in a lawsuit filed by the U.S. Equal Employment Opportunity Commission (EEOC), the federal agency announced today. According to the lawsuit, Walmart’s store in DeFuniak Springs, Florida failed to respond to complaints of sexual harassment made by a female employee who claimed a male Walmart employee made constant sexual comments about the woman’s body. The EEOC also charged that the male employee touched the female employee on a regular basis. After the female employee complained to multiple Walmart managers, the EEOC said, Walmart failed to discipline the harasser or take corrective action. Such alleged conduct violated Title VII of the Civil Rights Act of 1964, which prohibits an employer from permitting a hostile work environment based on sex and retaliating against those who complain about Title VII violations. The EEOC filed suit (EEOC v. Walmart Inc. and Wal-Mart Stores East, L.P, Case No. 3:21-cv-01051) in U.S. District Court for the Northern District of Florida after first attempting to reach a pre-litigation settlement through its administrative conciliation process."" https://www.eeoc.gov/newsroom/walmart-pay-30000-settle-eeoc-sexual-harassment-suit";
GE.N;US3696043013;369604301;General Electric Co;United States of America;Industrials;Capital Goods;09-02-2024;09-02-2025;"Settlement for gender pay discrimination [GE AEROSPACE is an operating division of General Electric Co] - "" GE AEROSPACE RESOLVES ALLEGED GENDER-BASED HIRING DISCRIMINATION, PAYS $443K IN BACK WAGES TO AFFECTED JOB APPLICANTS AFTER COMPLIANCE REVIEW. Company will also extend 14 job opportunities to female applicants at Vermont facility. The U.S. Department of Labor’s Office of Federal Contract Compliance Programs has entered into a conciliation agreement with GE Aerospace to resolve alleged hiring discrimination affecting females who applied for work with the manufacturer at its Rutland, Vermont, facility.  A routine compliance review conducted by OFCCP for the period from Aug. 1, 2018, to Jan. 31, 2020, found that GE Aerospace discriminated against female applicants for manufacturing operations associate positions. The agency determined GE Aerospace violated Executive Order 11246, which prohibits federal contractors from discriminating in employment based on race, color, religion, sex, sexual orientation, gender identity or national origin. To resolve the allegations, GE Aerospace, formerly known as GE Aviation, will pay $443,000 in back pay and interest to 116 unsuccessful female applicants and extend 14 job opportunities to female applicants for the position."" https://www.dol.gov/newsroom/releases/ofccp/ofccp20240209";
ORCL.N;US68389X1054;68389X105;Oracle Corp;United States of America;Information Technology;Software & Services;14-02-2024;14-02-2025;"Settlement for gender pay discrimination - ""Oracle America has agreed to pay $25 million to settle a long-running class action accusing it of underpaying about 4,000 female employees in California compared to men performing the same work.
In a motion filed Tuesday, opens new tab in San Mateo County Superior Court, plaintiffs' lawyers urged Judge Raymond Swope to approve the agreement, saying it was fair and reasonable. A hearing is scheduled for April 8 on preliminary approval, which if granted would allow notice to be sent to potential class members to give them a chance to object before final approval. In addition to payment, the settlement, opens new tab also provides for an independent expert to review Oracle's practices and ensure that they comply with anti-discrimination law. Oracle, which did not admit wrongdoing under the deal, and its attorney did not immediately respond to requests for comment.
The 2017 lawsuit claimed that, since at least 2013, the California-based tech company had paid men in information technology, product development and support positions up to $13,000 more per year to perform the same kind of work as their female colleagues, violating the California Equal Pay Act. [...] The case is Jewett v. Oracle America Inc, California Superior Court, San Mateo County, No. 17-civ-02669."" https://www.reuters.com/legal/litigation/oracle-settle-female-employees-equal-pay-case-25-mln-2024-02-14/
";
SFM.OQ;US85208M1027;85208M102;Sprouts Farmers Market Inc;United States of America;Consumer Staples;Consumer Staples Distribution & Retail;19-04-2024;19-04-2025;"Settlement for sexual harassment - ""Sprouts Farmers Market, a national grocery chain featuring natural foods, has settled a federal charge of sex discrimination including sexual harassment and retaliation filed with the U.S. Equal Employment Opportunity Commission (EEOC), the federal agency announced today. According to the EEOC, Sprouts Farmers Market, located in the San Fernando Valley area of Los Angeles, subjected a group of employees to sexual harassment and retaliated against them for complaining about the harassment. The EEOC investigated the allegations and found reasonable cause to believe that Sprouts Farmers Market violated Title VII of the Civil Rights Act of 1964, as amended. Without admitting liability, Sprouts entered into a one-year conciliation agreement with the EEOC. According to the terms of the agreement, the company will provide $265,000 to a class of individuals affected by the harassment and retaliation."" https://www.eeoc.gov/newsroom/sprouts-farmers-market-resolves-eeoc-discrimination-charge";
TFII.TO;CA87241L1094;87241L109;TFI International Inc;Canada;Industrials;Transportation;29-04-2024;29-04-2025;"Settlement for sexual orientation discrimination - """"TA Dedicated to Pay $460,000 in EEOC Sexual Orientation and Retaliation Suit
Trucking Companies Settle Federal Charges They Allowed Harassment and Termination of Gay Mechanics Because of Sexual Orientation
CLEVELAND – TA Dedicated (formerly known as Transport America) and Transportation Enterprise Services, trucking companies that operate under the parent TFI International, Inc., will pay $460,000 and furnish significant equitable relief to settle a sexual orientation and retaliation lawsuit filed by the U.S. Equal Employment Opportunity Commission (EEOC), the federal agency announced today. The EEOC said the companies violated federal law by subjecting two gay mechanics to harassment and termination because of their sexual orientation and retaliated against them for complaining about the harassment.
According to the EEOC’s lawsuit, beginning in late 2018, workers and supervisors at the TA Dedicated facility in North Jackson, Ohio harassed two mechanics because they are gay. The harassment included frequent use of gay slurs and other derogatory comments, physical violence and other inappropriate contact, defacement of uniforms, and other hostile behavior. Although human resources and management officials were aware of the harassment, they failed to take effective action to stop it. Instead, after reporting the harassment, the mechanics suffered further harassment and retaliation, including being fired or forced to quit.
[...] EEOC v. TA Dedicated, Inc. d/b/a Transport America and TForce TL Holdings USA, Inc. d/b/a Transportation Enterprise Services, Case No. 1:23-cv-01802"" https://www.eeoc.gov/newsroom/ta-dedicated-pay-460000-eeoc-sexual-orientation-and-retaliation-suit";
SYY.N;US8718291078;871829107;Sysco Corp;United States of America;Consumer Staples;Consumer Staples Distribution & Retail;03-05-2024;03-05-2025;"Settlement for gender pay discrimination [Sysco Corp is the parent company of Sysco West Coast Florida] - ""Sysco West Coast Florida, based in Palmetto, has been ordered to pay more than $130,000 in back wages and interest as the result of alleged hiring discrimination against 95 women who applied for jobs there, federal officials say.  A routine compliance review for 2018 and 2019 found that the subsidiary of one of the nation’s largest food distributors had violated federal law that prohibits employers from discriminating on the basis of sex, among other factors, according to the U.S. Department of Labor. [...] As part of a conciliation agreement, Sysco West Coast Florida must pay $133,625 to resolve alleged hiring discrimination at its Palmetto facility against 95 female applicants for outbound selector positions. The position requires workers to select customer orders and move items averaging 30 pounds. It is “one of the most critical and physically demanding jobs in our company,” Sysco says in a job posting for an outbound selector on its website."" https://www.businessobserverfl.com/news/2024/may/03/sysco-west-coast-florida-hiring-discrimination/";
5201.T;JP3112000009;J0025W100;AGC Inc;Japan;Industrials;Capital Goods;13-05-2024;13-05-2025;"Official ruling for gender discrimination [AGC Inc is the parent company of AGC Green-Tech Co.] - ""Court: Company housing system discriminates against women
The Tokyo District Court on May 13 ruled that a company’s housing system, which offers substantially better benefits to “career-track” employees, discriminates against women. The lawsuit was filed by a woman who works at AGC Green-Tech Co., a subsidiary of AGC Inc., which is a major glass manufacturer formerly called Asahi Glass Co. The woman claimed that she was subjected to gender discrimination by the company’s housing and wages policy based on the idea that “sogo-shoku” (career-track positions) are for men and “ippan-shoku” (general positions) are for women. The court ordered AGC Green-Tech to pay a total of 3.78 million yen ($24,250) to the woman, who is a general position employee. “There is no rational reason for limiting the company housing system to career-track employees,” the court said in the ruling. The court found that the situation “constitutes indirect discrimination” under the Equal Employment Opportunity Law and that “it is illegal for the company to continue to operate the company housing system without correcting the indirect discrimination.” According to the complaint and other documents, the Tokyo-based company’s career-track positions are almost exclusively occupied by men, while the general positions are almost exclusively held by women."" https://www.asahi.com/ajw/articles/15264795";
SNAP.N;US83304A1060;83304A106;Snap Inc;United States of America;Communication Services;Media & Entertainment;19-06-2024;19-06-2025;"Settlement for Gender Discrimination & Harassment - """"The California Civil Rights Department has revealed that Snap Inc. has agreed to pay $15 million to settle the lawsuit it filed """"over alleged discrimination, harassment, and retaliation against women at the company."""" California's civil rights agency started investigating the company behind Snapchat over three years ago due to claims that it discriminated and retaliated against female employees. The agency accused the company of failing the make sure that female employees were paid equally despite a period of rapid growth between 2015 to 2022.
Women, especially those in engineering roles, were allegedly discouraged to apply for promotions and lost them to less qualified male colleagues when they did. The agency said that they also had to endure unwelcome sexual advances and faced retaliation when they spoke up. Female employees were given negative performance reviews, were denied opportunities and, ultimately, were terminated."" https://finance.yahoo.com/news/snap-will-pay-15-million-to-settle-california-lawsuit-alleging-sexual-discrimination-120019788.html

""Civil Rights Department Obtains $15 Million Settlement Agreement with Snapchat Over Alleged Sex-Based Employment Discrimination
June 19, 2024
For Immediate Release
The California Civil Rights Department (CRD) today announced obtaining a $15 million settlement agreement with Snap Inc. — known for the Snapchat social media platform — over alleged discrimination, harassment, and retaliation against women at the company. As part of the agreement, which is subject to court approval, Snap Inc. has committed to taking action to help ensure the implementation of fair employment practices and provide monetary relief to women who were employees at the company in California between 2014 and 2024."" https://calcivilrights.ca.gov/2024/06/19/civil-rights-department-obtains-15-million-settlement-agreement-with-snapchat-over-alleged-sex-based-employment-discrimination/";
