#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;17-12-2024;;QS0011256193;NL;ENVG;EN Vigeo US 50 GR;XAMS;;5514.15;5486.96;5486.96282588;;;;;QS0011256169;;;.21435719140572;;US2788651006;WM ;TR1;Indices;;;;;0;
QS0011256185;17-12-2024;;QS0011256185;NL;ENVN;EN Vigeo US 50 NR;XAMS;;4961.33;4936.79;4936.78704379;;;;;QS0011256169;;;;.150050033984;US2788651006;WM ;TR1;Indices;;;;;0;
QS0011256169;17-12-2024;;QS0011256169;NL;ENVU;EN Vigeo US 50;XAMS;840.64937974922;3852.38;3833.17;3833.16739876;3222349.7962458;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;17-12-2024;;QS0011250865;NL;ENVWG;EN Vigeo W 120 GR;XAMS;;2928.85;2916.14;2916.1415779;;;;;QS0011250840;;;.0360864014299;;US2788651006;WM ;TR1;Indices;;;;;0;
QS0011250857;17-12-2024;;QS0011250857;NL;ENVWN;EN Vigeo W 120 NR;XAMS;;2642.00;2630.51;2630.51491441;;;;;QS0011250840;;;;.02526048100093;US2788651006;WM ;TR1;Indices;;;;;0;
QS0011250840;17-12-2024;;QS0011250840;NL;ENVW;EN Vigeo World 120;XAMS;859.765390025695;1854.82;1846.74;1846.73557903;1587759.33537689;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;17-12-2024;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;7816.42;7789.44;7789.43671347;;;;;NL0015436114;;;.12078610746154;;US0320951017 US03990B1017 US0865161014 US2788651006 US7458671010 US9256521090;ECB;TR1;Indices;;;;;0;
NL0015436122;17-12-2024;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6974.47;6950.34;6950.34340798;;;;;NL0015436114;;;;.08455027522308;US0320951017 US03990B1017 US0865161014 US2788651006 US7458671010 US9256521090;ECB;TR1;Indices;;;;;0;
NL0015436114;17-12-2024;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9545766579.53914;5286.76;5268.39;5268.38815534;50290803581318.196353;502;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;17-12-2024;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5474.18;5457.26;5457.26406244;;;;;NL0015000IB0;;;.09360931550479;;ES0178430E18 US0320951017 US03990B1017 US0865161014 US2788651006 US7458671010 US9256521090;ECB;TR1;Indices;;;;;0;
