#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
QS0011256250;11-12-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3674.16;3678.07;3678.0674617;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256243;11-12-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3353.30;3356.86;3356.86470052;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256235;11-12-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2236.93;2239.31;2239.30895054;1982507.81;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011256227;11-12-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3534.36;3550.41;3550.41015586;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256219;11-12-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3096.86;3110.93;3110.92705959;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011256201;11-12-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.515560390412;2081.89;2091.35;2091.34855076;1711801.331;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250956;11-12-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2018.21;2040.99;2040.98537051;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250949;11-12-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1986.59;2009;2009.00422092;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
QS0011250931;11-12-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1181.30;1194.63;1194.62636101;90477892.25;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
QS0011250923;11-12-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2561.22;2585.69;2585.69322523;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
