#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
QS0011256193;11-12-2025;;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;6412.82;6459.59;6459.59030281;;;;;QS0011256169;;;.94974729483589;;US40434L1052;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011256185;11-12-2025;;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;5736.35;5777.81;5777.8112311;;;;;QS0011256169;;;;.66482310638512;US40434L1052;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011256169;11-12-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;838.960010028441;4389.36;4420.42;4420.4215346;3708556.895;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;;CALCULATED
QS0011250865;11-12-2025;;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;3546.52;3586.61;3586.61331115;;;;;QS0011250840;;;0;;;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011250857;11-12-2025;;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;3174.22;3210.1;3210.09781334;;;;;QS0011250840;;;;0;;WM ;TR1;Indices;;;;;0;;CALCULATED
QS0011250840;11-12-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;849.50687603259;2164.64;2189.1;2189.10357334;1859658.53790236;117;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;;CALCULATED
NL0015436130;11-12-2025;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;8089.05;8032.61;8032.61458391;;;;;NL0015436114;;;.1044467172363;;CA87971M1032 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015436122;11-12-2025;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;7190.89;7140.68;7140.67627309;;;;;NL0015436114;;;;.07518122494287;CA87971M1032 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015436114;11-12-2025;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9574797054.68987;5401.96;5364.16;5364.16323076;51360774302796.620152;502;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NL0015000I97;11-12-2025;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5801.11;5771.51;5771.50786985;;;;;NL0015000IB0;;;.06604331675391;;CA87971M1032 GB0002318888 GB0006731235 GB00B17BBQ50 NZMFTE0001S9 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000I89;11-12-2025;;NL0015000I89;NL;ENDMP;Euronext Developed Market;XAMS;19598253604.6661;3583.09;3564.8;3564.79506972;69863757824985.148969;1538;EUR;1;;NL0015000I63;NL0015000I71;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NL0015000I71;11-12-2025;;NL0015000I71;NL;ENDMN;Euronext Developed Market NR;XAMS;;5180.45;5154.08;5154.07830211;;;;;NL0015000I89;;;;.05114489044324;CA87971M1032 GB0002318888 GB0006731235 GB00B17BBQ50 NZMFTE0001S9 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000I63;11-12-2025;;NL0015000I63;NL;ENDMG;Euronext Developed Market GR;XAMS;;5803.14;5773.63;5773.62540913;;;;;NL0015000I89;;;.0659634606885;;CA87971M1032 GB0002318888 GB0006731235 GB00B17BBQ50 NZMFTE0001S9 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000IB0;11-12-2025;;NL0015000IB0;NL;ENWP;Euronext World;XAMS;19574556438.9461;3582.66;3564.3;3564.3042911;69769675511803.910069;1500;EUR;1;;NL0015000I97;NL0015000IA2;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NL0015000IA2;11-12-2025;;NL0015000IA2;NL;ENWN;Euronext World NR;XAMS;;5178.97;5152.52;5152.51646211;;;;;NL0015000IB0;;;;.05120680699028;CA87971M1032 GB0002318888 GB0006731235 GB00B17BBQ50 NZMFTE0001S9 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000E91;11-12-2025;;NL0015000E91;FR;EWCSP;Euronext World Country selection;XPAR;15461701760.2892;3987.88;3961.64;3961.63831189;61253670060630.512512;1089;EUR;1;;NL0015000E75;NL0015000EB9;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NL0015000E75;11-12-2025;;NL0015000E75;FR;EWCSG;Euronext World Country selection GR;XPAR;;6233.99;6193.09;6193.09014712;;;;;NL0015000E91;;;.08141053874253;;CA87971M1032 GB0002318888 GB0006731235 GB00B17BBQ50 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000EG8;11-12-2025;;NL0015000EG8;FR;EVEWN;Euronext ESG World-Select 75 Bund/SV NR;XPAR;;5904.28;5902.56;5902.5595496;;;;;NL0015000ED5;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000ED5;11-12-2025;;NL0015000ED5;FR;EVEWP;Euronext ESG World-Select 75 Bund/SV;XPAR;351101.869129661;4344.69;4343.43;4343.42806234;1524985711.11901559;76;EUR;1;;NL0015000EA1;NL0015000EG8;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
