2025-02-04 17:21:10,368 - werkzeug - WARNING -  * Debugger is active!
2025-02-04 17:21:10,371 - werkzeug - INFO -  * Debugger PIN: 691-175-853
2025-02-04 17:21:10,445 - Review.reviews.gicp_review - INFO - Loading EOD data...
2025-02-04 17:21:12,694 - Review.reviews.gicp_review - INFO - Loading reference data...
2025-02-04 17:21:19,765 - Review.reviews.gicp_review - INFO - Processing market data...
2025-02-04 17:21:19,849 - Review.reviews.gicp_review - INFO - Category_1 weight: 12.0000% (target: 12.0000%)
2025-02-04 17:21:19,849 - Review.reviews.gicp_review - INFO - Category_2 weight: 12.0000% (target: 12.0000%)
2025-02-04 17:21:19,850 - Review.reviews.gicp_review - INFO - Category_3 weight: 12.0000% (target: 12.0000%)
2025-02-04 17:21:19,851 - Review.reviews.gicp_review - INFO - Category_4 weight: 12.0000% (target: 12.0000%)
2025-02-04 17:21:19,852 - Review.reviews.gicp_review - INFO - Category_5 weight: 12.0000% (target: 12.0000%)
2025-02-04 17:21:19,852 - Review.reviews.gicp_review - INFO - Category_6 weight: 20.0000% (target: 20.0000%)
2025-02-04 17:21:19,853 - Review.reviews.gicp_review - INFO - Category_7 weight: 20.0000% (target: 20.0000%)
2025-02-04 17:21:19,854 - Review.reviews.gicp_review - INFO - 
Final Weight Verification:
2025-02-04 17:21:19,855 - Review.reviews.gicp_review - INFO - Category_1 final weight: 12.0000%
2025-02-04 17:21:19,855 - Review.reviews.gicp_review - INFO - Category_2 final weight: 12.0000%
2025-02-04 17:21:19,856 - Review.reviews.gicp_review - INFO - Category_3 final weight: 12.0000%
2025-02-04 17:21:19,857 - Review.reviews.gicp_review - INFO - Category_4 final weight: 12.0000%
2025-02-04 17:21:19,858 - Review.reviews.gicp_review - INFO - Category_5 final weight: 12.0000%
2025-02-04 17:21:19,858 - Review.reviews.gicp_review - INFO - Category_6 final weight: 20.0000%
2025-02-04 17:21:19,859 - Review.reviews.gicp_review - INFO - Category_7 final weight: 20.0000%
2025-02-04 17:21:19,859 - Review.reviews.gicp_review - INFO - Maximum constituent weight: 10.0000%
2025-02-04 17:21:19,863 - Review.reviews.gicp_review - INFO - Saving GICP output to: C:\Users\CSonneveld\OneDrive - Euronext\Documents\Projects\GUI + Reviews\output\GICP_df_20250204_172119.xlsx
2025-02-04 17:21:20,168 - werkzeug - INFO - 127.0.0.1 - - [04/Feb/2025 17:21:20] "POST /calculate HTTP/1.1" 200 -
2025-02-04 18:17:25,271 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\config.py', reloading
2025-02-04 18:17:25,272 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\__init__.py', reloading
2025-02-04 18:17:25,273 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\functions.py', reloading
2025-02-04 18:17:25,276 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\review_logic.py', reloading
2025-02-04 18:17:25,278 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\__init__.py', reloading
2025-02-04 18:17:25,279 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\aerdp_review.py', reloading
2025-02-04 18:17:25,291 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\bnew_review.py', reloading
2025-02-04 18:17:25,298 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\edwp_review.py', reloading
2025-02-04 18:17:25,304 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\edwpt_review.py', reloading
2025-02-04 18:17:25,312 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\egspp_review.py', reloading
2025-02-04 18:17:25,326 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\f4rip_review.py', reloading
2025-02-04 18:17:25,332 - werkzeug - INFO -  * Detected change in 'C:\\Users\\CSonneveld\\OneDrive - Euronext\\Documents\\Projects\\GUI + Reviews\\Review\\reviews\\frd4p_review.py', reloading
