#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;01-08-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3669.84;3598.33;3598.32981327;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;01-08-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3351.18;3285.88;3285.88140692;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;01-08-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.32125481205;2242.02;2198.33;2198.32979206;1946228.09;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;01-08-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3514.98;3447.77;3447.76816504;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;01-08-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3082.82;3023.87;3023.86666877;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;01-08-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.898599051075;2079.49;2039.72;2039.72019116;1670324.007;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;01-08-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2012.77;2004.18;2004.17505842;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;01-08-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1983.59;1975.12;1975.11932337;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;01-08-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;75737.3980710988;1195.37;1190.26;1190.26478128;90147557.55;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;01-08-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2552.67;2457.56;2457.55815492;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;01-08-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2194.93;2113.14;2113.14314843;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;01-08-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;781.071650981856;1494.78;1439.08;1439.08333602;1124027.19716503;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;01-08-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3317.46;3260.8;3260.80350111;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250881;01-08-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2956.73;2906.24;2906.23679496;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250873;01-08-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;864.215958005923;1956.26;1922.85;1922.84798072;1661755.90975883;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;01-08-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1421.34;1388.18;1388.18027211;11352660404.625;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;01-08-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2316.71;2262.65;2262.65415196;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;01-08-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;83724976.1623994;1429.23;1403.15;1403.1544887;117479076118.98;3;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;01-08-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2383.98;2340.49;2340.48981524;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;01-08-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1158.78;1145.99;1145.99205801;;;;;QS0011040902;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011227178;01-08-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1107.86;1095.63;1095.63262384;;;;;QS0011040902;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011225420;01-08-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4796.86;4789.73;4789.73239282;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;01-08-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6732.48;6442.02;6442.01579144;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;01-08-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2088.79;2039.35;2039.34655301;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225370;01-08-2025;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;17772694.0947651;39307.21;38311.82;38311.81874366;680904234745.0954;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
QS0011225222;01-08-2025;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;1407730.95864202;7815.99;7765.69;7765.69375137;10932007509.14;5;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
QS0011225214;01-08-2025;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;32105345.2623399;1978.54;1831.93;1831.93417287;58814879117.73;15;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices;;;;;0;
QS0011225206;01-08-2025;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;16196121.8040538;5226.66;5106.88;5106.8768585;82711599638.6423;14;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices;;;;;0;
QS0011225198;01-08-2025;;QS0011225198;BE;BETEP;BEL Telecommunications;XBRU;11082413.9799754;382.46;384.57;384.56978261;4261961535.0322;4;EUR;1;;;QS0011016860;;;;ECB;EU Price;Indices;;;;;0;
QS0011225180;01-08-2025;;QS0011225180;BE;BEFIP;BEL Financials;XBRU;143809523.493033;1139.29;1110.57;1110.5718394;159710807028.974;15;EUR;1;;;QS0011016902;;;;ECB;EU Price;Indices;;;;;0;
QS0011225172;01-08-2025;;QS0011225172;BE;BETP;BEL Technology;XBRU;2981608.43848535;1543.81;1524.58;1524.58083845;4545703093.067;6;EUR;1;;;QS0011016936;;;;ECB;EU Price;Indices;;;;;0;
QS0011225164;01-08-2025;;QS0011225164;BE;BEUTP;BEL Utilities;XBRU;52315887.2634673;1126.92;1103.63;1103.63220578;57737498057.9;3;EUR;1;;;QS0011019005;;;;ECB;EU Price;Indices;;;;;0;
QS0011225156;01-08-2025;;QS0011225156;BE;BECSP;BEL Consumer Staples;XBRU;48997232.1577562;2803.10;2744.35;2744.34813334;134465462610.89;13;EUR;1;;;QS0011016829;;;;ECB;EU Price;Indices;;;;;0;
