#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;07-07-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3701.11;3712.37;3712.37252015;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;07-07-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3379.80;3390.09;3390.09057151;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;07-07-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2261.43;2268.31;2268.30957002;2009637.36482988;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;07-07-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3479.86;3491.93;3491.93115294;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;07-07-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;3052.54;3063.13;3063.130045;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;07-07-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;817.751645469539;2060.18;2067.32;2067.32355972;1690557.24267655;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;07-07-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;2035.57;2032.7;2032.69625044;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;07-07-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;2006.06;2003.23;2003.22702645;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;07-07-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1210.63;1208.92;1208.91709873;92092139.678558;21;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;07-07-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2557.24;2570.36;2570.36086013;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;07-07-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2198.85;2210.14;2210.13709468;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;07-07-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;807.56894193538;1497.45;1505.14;1505.13772134;1215502.47708665;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;07-07-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3306.50;3313.16;3313.15550739;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250881;07-07-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2947.40;2953.34;2953.33915755;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250873;07-07-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;864.428780948808;1951.62;1955.55;1955.55166849;1690435.14487331;121;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;07-07-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1365.65;1359.27;1359.26870748;11116219085.325;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;07-07-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2225.93;2215.53;2215.52996136;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;07-07-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;83225706.8677281;1454.85;1422.42;1422.4209597;118381989834.66;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;07-07-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2426.72;2372.63;2372.62667511;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;07-07-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1147.49;1147.55;1147.55256412;;;;;QS0011040902;;;.17527630539731;;IT0005433765 IT0005561441 IT0005603078 NO0010955917;ECB;TR1;Indices;;;;;0;
QS0011227178;07-07-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1097.23;1097.23;1097.22990525;;;;;QS0011040902;;;;.13014782080772;IT0005433765 IT0005561441 IT0005603078 NO0010955917;ECB;TR1;Indices;;;;;0;
QS0011225420;07-07-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4979.99;4983.01;4983.01410642;;;;;QS0011016563;;;1.94173209479092;;NL0014332678;ECB;TR1;Indices;;;;;0;
QS0011225404;07-07-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6939.36;7018.4;7018.39760986;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;07-07-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2172.33;2192.24;2192.23825128;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225370;07-07-2025;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;17817776.4854584;39121.79;39042.75;39042.7464034;695654928794.2788;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
QS0011225222;07-07-2025;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;1420306.52087371;8172.65;8189.39;8189.39215566;11631447080.67;6;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
QS0011225214;07-07-2025;;QS0011225214;BE;BEINP;BEL Industrials;XBRU;32105345.2623399;1926.64;1948.11;1948.10863333;62544700281.62;15;EUR;1;;;QS0011016738;;;;ECB;EU Price;Indices;;;;;0;
QS0011225206;07-07-2025;;QS0011225206;BE;BEHCP;BEL Health Care;XBRU;16195481.9744485;4431.35;4439.72;4439.71732729;71903361945.8015;14;EUR;1;;;QS0011016795;;;;ECB;EU Price;Indices;;;;;0;
