#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
WLSNc.AS;01-04-2025;;NL0000395903;NL;WKL;WOLTERS KLUWER;XAMS;40301030;144.55;144.55000000;0;0;ENVB;536.05847;1;1;EUR;1;1.00000000;77487.2518385;4.18418;;;;;0;0;;
UMI.BR;01-04-2025;;BE0974320526;BE;UMI;UMICORE;XBRU;55201020;9.41;9.41000000;0;0;ENVB;8484.78203;1;1;EUR;1;1.00000000;79841.7989023;4.31132;;;;;0;0;;
STMPA.PA;01-04-2025;;NL0000226223;FR;STMPA;STMICROELECTRONICS;XPAR;10102010;20.12;20.12000000;0;0;ENVB;4176.98679;1;1;EUR;1;1.00000000;84040.9742148;4.53807;;;;;0;0;;
SOLB.BR;01-04-2025;;BE0003470755;BE;SOLB;SOLVAY;XBRU;55201000;33.24;33.24000000;0;0;ENVB;2994.78384;1;1;EUR;1;1.00000000;99546.6148416;5.37535;;;;;0;0;;
RAND.AS;01-04-2025;;NL0000379121;NL;RAND;RANDSTAD NV;XAMS;50205025;38.52;38.52000000;0;0;ENVB;2129.47334;1;1;EUR;1;1.00000000;82027.3130568;4.42933;;;;;0;0;;
LIGHT.AS;01-04-2025;;NL0011821392;NL;LIGHT;SIGNIFY NV;XAMS;50101035;19.85;19.85000000;0;0;ENVB;4580.3442;1;1;EUR;1;1.00000000;90919.83237;4.90951;;;;;0;0;;
KPN.AS;01-04-2025;;NL0000009082;NL;KPN;KPN KON;XAMS;15102015;3.927;3.92700000;0;0;ENVB;23572.81064;1;1;EUR;1;1.00000000;92570.42738328;4.99864;;;;;0;0;;
KBC.BR;01-04-2025;;BE0003565737;BE;KBC;KBC;XBRU;30101010;84.36;84.36000000;0;0;ENVB;1416.6013;1;1;EUR;1;1.00000000;119504.485668;6.45304;;;;;0;0;;
HEIO.AS;01-04-2025;;NL0000008977;NL;HEIO;HEINEKEN HOLDING;XAMS;45101010;66.4;66.40000000;0;0;ENVB;1340.76157;1;1;EUR;1;1.00000000;89026.568248;4.80728;;;;;0;0;;
HEIN.AS;01-04-2025;;NL0000009165;NL;HEIA;HEINEKEN;XAMS;45101010;74.54;74.54000000;0;0;ENVB;1188.5972;1;1;EUR;1;1.00000000;88598.035288;4.78414;;;;;0;0;;
ENX.PA;01-04-2025;;NL0006294274;FR;ENX;EURONEXT;XPAR;30202015;136.2;136.20000000;0;0;ENVB;899.40574;1;1;EUR;1;1.00000000;122499.061788;6.61474;;;;;0;0;;
