#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
WLSNc.AS;03-04-2025;;NL0000395903;NL;WKL;WOLTERS KLUWER;XAMS;40301030;144.45;144.45000000;0;0;ENVB;536.05847;1;1;EUR;1;1.00000000;77433.6459915;4.20075;;;;;0;0;;
UMI.BR;03-04-2025;;BE0974320526;BE;UMI;UMICORE;XBRU;55201020;9.23;9.23000000;0;0;ENVB;8484.78203;1;1;EUR;1;1.00000000;78314.5381369;4.24854;;;;;0;0;;
STMPA.PA;03-04-2025;;NL0000226223;FR;STMPA;STMICROELECTRONICS;XPAR;10102010;19.916;19.91600000;0;0;ENVB;4176.98679;1;1;EUR;1;1.00000000;83188.86890964;4.51297;;;;;0;0;;
SOLB.BR;03-04-2025;;BE0003470755;BE;SOLB;SOLVAY;XBRU;55201000;32.26;32.26000000;0;0;ENVB;2994.78384;1;1;EUR;1;1.00000000;96611.7266784;5.24116;;;;;0;0;;
RAND.AS;03-04-2025;;NL0000379121;NL;RAND;RANDSTAD NV;XAMS;50205025;38.2;38.20000000;0;0;ENVB;2129.47334;1;1;EUR;1;1.00000000;81345.881588;4.41299;;;;;0;0;;
LIGHT.AS;03-04-2025;;NL0011821392;NL;LIGHT;SIGNIFY NV;XAMS;50101035;19.68;19.68000000;0;0;ENVB;4580.3442;1;1;EUR;1;1.00000000;90141.173856;4.89013;;;;;0;0;;
KPN.AS;03-04-2025;;NL0000009082;NL;KPN;KPN KON;XAMS;15102015;3.92;3.92000000;0;0;ENVB;23572.81064;1;1;EUR;1;1.00000000;92405.4177088;5.01297;;;;;0;0;;
KBC.BR;03-04-2025;;BE0003565737;BE;KBC;KBC;XBRU;30101010;84.62;84.62000000;0;0;ENVB;1416.6013;1;1;EUR;1;1.00000000;119872.802006;6.50307;;;;;0;0;;
HEIO.AS;03-04-2025;;NL0000008977;NL;HEIO;HEINEKEN HOLDING;XAMS;45101010;66.7;66.70000000;0;0;ENVB;1340.76157;1;1;EUR;1;1.00000000;89428.796719;4.85149;;;;;0;0;;
HEIN.AS;03-04-2025;;NL0000009165;NL;HEIA;HEINEKEN;XAMS;45101010;74.9;74.90000000;0;0;ENVB;1188.5972;1;1;EUR;1;1.00000000;89025.93028;4.82963;;;;;0;0;;
ENX.PA;03-04-2025;;NL0006294274;FR;ENX;EURONEXT;XPAR;30202015;137.1;137.10000000;0;0;ENVB;899.40574;1;1;EUR;1;1.00000000;123308.526954;6.68945;;;;;0;0;;
DSFIR.AS;03-04-2025;;CH1216478797;NL;DSFIR;DSM FIRMENICH AG;XAMS;45102020;91;91.00000000;0;0;ENVB;846.40811;1;1;EUR;1;1.00000000;77023.13801;4.17848;;;;;0;0;;
COFB.BR;03-04-2025;;BE0003593044;BE;COFB;COFINIMMO;XBRU;35102010;59.3;59.30000000;0;0;ENVB;1486.4394;1;1;EUR;1;1.00000000;88145.85642;4.78189;;;;;0;0;;
ASRNL.AS;03-04-2025;;NL0011872643;NL;ASRNL;ASR NEDERLAND;XAMS;30302010;53.3;53.30000000;0;0;ENVB;2055.28265;1;1;EUR;1;1.00000000;109546.565245;5.94287;;;;;0;0;;
ASML.AS;03-04-2025;;NL0010273215;NL;ASML;ASML HOLDING;XAMS;10102020;616.3;616.30000000;0;0;ENVB;124.85842;1;1;EUR;1;1.00000000;76950.244246;4.17453;;;;;0;0;;
ARDS.AS;03-04-2025;;NL0006237562;NL;ARCAD;ARCADIS;XAMS;50101015;47;47.00000000;0;0;ENVB;1425.17192;1;1;EUR;1;1.00000000;66983.08024;3.63381;;;;;0;0;;
AKZO.AS;03-04-2025;;NL0013267909;NL;AKZA;AKZO NOBEL;XAMS;55201020;57.78;57.78000000;0;0;ENVB;1667.53576;1;1;EUR;1;1.00000000;96350.2162128;5.22697;;;;;0;0;;
AGES.BR;03-04-2025;;BE0974264930;BE;AGS;AGEAS;XBRU;30301010;55.3;55.30000000;0;0;ENVB;1660.62738;1;1;EUR;1;1.00000000;91832.694114;4.9819;;;;;0;0;;
AEGN.AS;03-04-2025;;BMG0112X1056;NL;AGN;AEGON;XAMS;30301010;6.126;6.12600000;0;0;ENVB;14320.67912;1;1;EUR;1;1.00000000;87728.48028912;4.75925;;;;;0;0;;
ABNd.AS;03-04-2025;;NL0011540547;NL;ABN;ABN AMRO BANK N.V.;XAMS;30101010;19.375;19.37500000;0;0;ENVB;6590.4233;1;1;EUR;1;1.00000000;127689.4514375;6.92712;;;;;0;0;;
1COv.DE;03-04-2025;;DE000A40KY26;DE;1COV;COVESTRO AG;XETR;55201020;59.5;59.50000000;0;0;ENVEO;195.8539;1;1;EUR;1;1.00000000;11653.30705;0.7156;;;;;0;0;;
WLN.PA;03-04-2025;;FR0011981968;FR;WLN;WORLDLINE;XPAR;50205015;6.188;6.18800000;0;0;ENVEO;1698.5821;1;1;EUR;1;1.00000000;10510.8260348;0.64545;;;;;0;0;;
VLOF.PA;03-04-2025;;FR0013176526;FR;FR;VALEO;XPAR;40101025;8.476;8.47600000;0;0;ENVEO;1384.84989;1;1;EUR;1;1.00000000;11737.98766764;0.7208;;;;;0;0;;
VIE.PA;03-04-2025;;FR0000124141;FR;VIE;VEOLIA ENVIRON.;XPAR;65102030;32.64;32.64000000;0;0;ENVEO;492.76036;1;1;EUR;1;1.00000000;16083.6981504;0.98767;;;;;0;0;;
URW.PA;03-04-2025;;FR0013326246;FR;URW;UNIBAIL-RODAMCO-WE;XPAR;35102045;78.04;78.04000000;0;0;ENVEO;153.92716;1;1;EUR;1;1.00000000;12012.4755664;0.73766;;;;;0;0;;
