#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;01-04-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3303.13;3318.07;3318.07062285;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;01-04-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3035.80;3049.53;3049.53334501;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;01-04-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2080.87;2090.28;2090.28148603;1851911.14689506;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;01-04-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3241.71;3276.35;3276.35407606;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;01-04-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;2864.27;2894.88;2894.87741832;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;01-04-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.397824308493;1977.38;1998.51;1998.51283487;1635578.55590888;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;01-04-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1890.53;1902.67;1902.67364793;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;01-04-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1864.93;1876.91;1876.91059564;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;01-04-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1145.59;1152.95;1152.94525889;87828351.451366;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;01-04-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2443.03;2465.96;2465.95545141;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;01-04-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2122.86;2142.78;2142.78045121;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;01-04-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;808.362721544621;1492.15;1506.15;1506.15151326;1217516.73632135;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;01-04-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3094.92;3125.21;3125.20841577;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250881;01-04-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2777.93;2805.12;2805.12086038;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250873;01-04-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;865.118280053566;1881.64;1900.06;1900.06242958;1643778.74107184;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;01-04-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1380.10;1384.78;1384.77891156;11324843778.825;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;01-04-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2195.01;2202.45;2202.45076742;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;01-04-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;82819753.4962303;1638.22;1633.53;1633.53199009;135288716747.49;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;01-04-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2701.02;2693.29;2693.28779604;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;01-04-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1043.80;1048.79;1048.79082786;;;;;QS0011040902;;;1.35980909992889;;NO0012785098 NO0013209858;ECB;TR1;Indices;;;;;0;
QS0011227178;01-04-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1001.29;1005.68;1005.68412999;;;;;QS0011040902;;;;1.01985682463787;NO0012785098 NO0013209858;ECB;TR1;Indices;;;;;0;
QS0011225420;01-04-2025;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4993.00;4999.6;4999.59984519;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;01-04-2025;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6670.10;6656.11;6656.10934893;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;01-04-2025;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2105.00;2138;2137.99774316;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
