#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;02-04-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3318.07;3302.69;3302.69046305;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;02-04-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3049.53;3035.4;3035.39792853;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;02-04-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2090.28;2080.59;2080.59246282;1843327.03504266;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;02-04-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3276.35;3264.38;3264.38498536;;;;;QS0011256201;;;.90255714489559;;FI0009007132;ECB;TR1;Indices;;;;;0;
QS0011256219;02-04-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;2894.88;2883.84;2883.84434923;;;;;QS0011256201;;;;.58666214418213;FI0009007132;ECB;TR1;Indices;;;;;0;
QS0011256201;02-04-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.192542351909;1998.51;1990.31;1990.3093631;1628456.2778584;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;02-04-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1902.67;1905.19;1905.18592643;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;02-04-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1876.91;1879.39;1879.38885677;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;02-04-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1152.95;1154.47;1154.46760067;87944319.463235;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;02-04-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2465.96;2456.42;2456.41572525;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
