#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256250;08-11-2024;;QS0011256250;NL;ENVBG;Euronext Vigeo Benelux 20 GR Index;XAMS;;3253.20;3228.71;3228.71131592;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;08-11-2024;;QS0011256243;NL;ENVBN;Euronext Vigeo Benelux 20 NR Index;XAMS;;2994.40;2971.86;2971.86390379;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;08-11-2024;;QS0011256235;NL;ENVB;Euronext Vigeo Benelux 20 Index;XAMS;886.165769227682;2062.11;2046.58;2046.58300264;1813611.80082466;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;08-11-2024;;QS0011256227;NL;ENVOG;Euronext Vigeo Euro 120 GR Index;XAMS;;2977.75;2964.81;2964.81426059;;;;;QS0011256201;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256219;08-11-2024;;QS0011256219;NL;ENVON;Euronext Vigeo Euro 120 NR Index;XAMS;;2635.83;2624.38;2624.37666396;;;;;QS0011256201;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256201;08-11-2024;;QS0011256201;NL;ENVEO;Euronext Vigeo Euro 120 Index;XAMS;818.502989208988;1829.21;1821.27;1821.26648911;1490712.0654825;119;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011250956;08-11-2024;;QS0011250956;NL;ENVUG;Euronext Vigeo UK 20 GR Index;XAMS;;1928.06;1915.96;1915.96424214;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;08-11-2024;;QS0011250949;NL;ENVUN;Euronext Vigeo UK 20 NR Index;XAMS;;1903.09;1891.15;1891.15432766;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;08-11-2024;;QS0011250931;NL;ENVUK;Euronext Vigeo UK 20 Index;XAMS;76071.1099022164;1180.79;1173.39;1173.3859246;89260769.628166;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;08-11-2024;;QS0011250923;NL;ENVFG;Euronext Vigeo France 20 GR Index;XAMS;;2343.91;2332.27;2332.27183721;;;;;QS0011250907;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250915;08-11-2024;;QS0011250915;NL;ENVFN;Euronext Vigeo France 20 NR Index;XAMS;;2036.99;2026.88;2026.88073337;;;;;QS0011250907;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250907;08-11-2024;;QS0011250907;NL;ENVF;Euronext Vigeo France 20 Index;XAMS;807.708812782302;1432.35;1425.24;1425.24310029;1151181.41246;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;08-11-2024;;QS0011250899;NL;ENVEG;Euronext Vigeo Europe 120 GR Index;XAMS;;2907.75;2891.17;2891.16820001;;;;;QS0011250873;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250881;08-11-2024;;QS0011250881;NL;ENVEN;Euronext Vigeo Europe 120 NR Index;XAMS;;2613.91;2599;2598.99876502;;;;;QS0011250873;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250873;08-11-2024;;QS0011250873;NL;ENVEU;Euronext Vigeo Europe 120 Index;XAMS;864.09214669551;1779.83;1769.68;1769.67701389;1529164.00989108;119;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011249503;08-11-2024;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8408437.76136;1355.87;1342.26;1342.26190476;11286325685.635;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;08-11-2024;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;2156.47;2134.83;2134.82869906;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;08-11-2024;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;87468830.4724431;1584.74;1560.02;1560.02045888;136453165051.24;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;08-11-2024;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2559.33;2519.4;2519.40053306;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;08-11-2024;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1066.57;1061.64;1061.64318652;;;;;QS0011040902;;;.09255711860573;;NO0012780958;ECB;TR1;Indices;;;;;0;
QS0011227178;08-11-2024;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;1023.74;1018.99;1018.99042037;;;;;QS0011040902;;;;.06941783887705;NO0012780958;ECB;TR1;Indices;;;;;0;
QS0011225420;08-11-2024;;QS0011225420;NL;NLCSG;AEX Consumer Staples GR;XAMS;;4911.60;4906.76;4906.76085611;;;;;QS0011016563;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225404;08-11-2024;;QS0011225404;NL;NLCGG;AEX Consumer Discretionary GR;XAMS;;6523.94;6612.15;6612.14605805;;;;;QS0011016530;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225396;08-11-2024;;QS0011225396;NL;NLBMG;AEX Basic Materials GR;XAMS;;2093.12;2096.25;2096.25315585;;;;;QS0011016480;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011225370;08-11-2024;;QS0011225370;BE;BELCP;BEL Continuous Stocks Index;XBRU;18116537.6946633;36699.92;36550.28;36550.28354609;662164589613.425;107;EUR;1;;;BE0389552978;;;;ECB;EU Price;Indices;;;;;0;
QS0011225222;08-11-2024;;QS0011225222;BE;BECGP;BEL Consumer Discretionary;XBRU;2091188.4914943;6003.35;5976.29;5976.28796852;12497544621.62;6;EUR;1;;;QS0011016761;;;;ECB;EU Price;Indices;;;;;0;
