#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;29-07-2025;;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;5649.50;'5702.18;'5702.17796322;'nan;;;;QS0011256169;;;0;;;WM ;TR1;Indices;;;;;0;
QS0011256185;29-07-2025;;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;5061.92;'5109.12;'5109.12074132;'nan;;;;QS0011256169;;;;0;;WM ;TR1;Indices;;;;;0;
QS0011256169;29-07-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;838.960010028441;3888.50;'3924.75;'3924.75096624;'3292709.11;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;29-07-2025;;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;3485.84;'3475.47;'3475.46642035;'nan;;;;QS0011250840;;;0;;;WM ;TR1;Indices;;;;;0;
QS0011250857;29-07-2025;;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;3124.81;'3115.52;'3115.51666335;'nan;;;;QS0011250840;;;;0;;WM ;TR1;Indices;;;;;0;
QS0011250840;29-07-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;856.520586699381;2145.85;'2139.47;'2139.46582342;'1832496.52229957;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;29-07-2025;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;7531.41;'7581.25;'7581.25114511;'nan;;;;NL0015436114;;;.02268501754061;;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015436122;29-07-2025;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6704.61;'6748.97;'6748.97243038;'nan;;;;NL0015436114;;;;.01587951227843;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015436114;29-07-2025;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9546920809.61971;5053.88;'5087.3;'5087.30338648;'48568082565257.965810;499;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;29-07-2025;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5411.71;'5442.14;'5442.14094603;'nan;;;;NL0015000IB0;;;.0110776929573;;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015000I89;29-07-2025;;NL0015000I89;NL;ENDMP;Euronext Developed Market;XAMS;19577876089.0765;3361.84;'3380.7;'3380.69662009;'66186859522830.6;1537;EUR;1;;NL0015000I63;NL0015000I71;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I71;29-07-2025;;NL0015000I71;NL;ENDMN;Euronext Developed Market NR;XAMS;;4839.33;'4866.48;'4866.48275024;'nan;;;;NL0015000I89;;;;.00774345723345;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015000I63;29-07-2025;;NL0015000I63;NL;ENDMG;Euronext Developed Market GR;XAMS;;5414.07;'5444.45;'5444.45425255;'nan;;;;NL0015000I89;;;.01106208176207;;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015000IB0;29-07-2025;;NL0015000IB0;NL;ENWP;Euronext World;XAMS;19550286044.2043;3361.16;'3380.04;'3380.04257413;'66080799165918.8;1496;EUR;1;;NL0015000I97;NL0015000IA2;;;;ECB;EU Price;Indices;;;;;0;
NL0015000IA2;29-07-2025;;NL0015000IA2;NL;ENWN;Euronext World NR;XAMS;;4837.53;'4864.73;'4864.72828876;'nan;;;;NL0015000IB0;;;;.00775438507011;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015000E91;29-07-2025;;NL0015000E91;FR;EWCSP;Euronext World Country selection;XPAR;15434040749.3599;3728.47;'3751.77;'3751.77271615;'57905012983466.958896;1092;EUR;1;;NL0015000E75;NL0015000EB9;;;;ECB;EU Price;Indices;;;;;0;
NL0015000E75;29-07-2025;;NL0015000E75;FR;EWCSG;Euronext World Country selection GR;XPAR;;5796.09;'5832.34;'5832.34276922;'nan;;;;NL0015000E91;;;.01403210407061;;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015000EG8;29-07-2025;;NL0015000EG8;FR;EVEWN;Euronext ESG World-Select 75 Bund/SV NR;XPAR;;5697.48;'5736.3;'5736.29698991;'nan;;;;NL0015000ED5;;;;0;;ECB;TR1;Indices;;;;;0;
NL0015000ED5;29-07-2025;;NL0015000ED5;FR;EVEWP;Euronext ESG World-Select 75 Bund/SV;XPAR;351101.869129661;4208.98;'4237.66;'4237.66263249;'1487851271.00674388;75;EUR;1;;NL0015000EA1;NL0015000EG8;;;;ECB;EU Price;Indices;;;;;0;
NL0015000EB9;29-07-2025;;NL0015000EB9;FR;EWCSN;Euronext World Country selection NR;XPAR;;5209.94;'5242.52;'5242.51699026;'nan;;;;NL0015000E91;;;;.00982247284943;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015000EA1;29-07-2025;;NL0015000EA1;FR;EVEWG;Euronext ESG World-Select 75 Bund/SV GR;XPAR;;6346.30;'6389.54;'6389.54074491;'nan;;;;NL0015000ED5;;;0;;;ECB;TR1;Indices;;;;;0;
NL0015000BX9;29-07-2025;;NL0015000BX9;FR;ETE5P;EN Transatlantic Environment 50;XPAR;343676549.096012;5397.80;'5415.21;'5415.21126719;'1861081120933.71;50;EUR;1;;NL0015000BV3;NL0015000BQ3;;;;ECB;EU Price;Indices;;;;;0;
NL0015000BW1;29-07-2025;;NL0015000BW1;FR;ETE5D;EN Transatlantic Environment 50 D5%;XPAR;;3315.49;'3325.73;'3325.73439287;'nan;;;;NL0015000BQ3;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0015000BV3;29-07-2025;;NL0015000BV3;FR;ETE5G;EN Transatlantic Environment 50 GR;XPAR;;8029.09;'8054.99;'8054.99085527;'nan;;;;NL0015000BX9;;;0;;;ECB;TR1;Indices;;;;;0;
NL0015000BQ3;29-07-2025;;NL0015000BQ3;FR;ETEGN;EN Transatlantic Environment 50 NR;XPAR;;7224.53;'7247.84;'7247.83961201;'nan;;;;NL0015000BX9;;;;0;;ECB;TR1;Indices;;;;;0;
NL0015000A95;29-07-2025;;NL0015000A95;FR;EUED5;Euronext US ESGL 20 EW Decrement 5%;XPAR;;1577.69;'1571.59;'1571.58832596;'nan;;;;NL0015000A79;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0015000A87;29-07-2025;;NL0015000A87;FR;EUEGR;Euronext US ESGL 20 EW GR;XPAR;;4831.46;'4813.43;'4813.43274677;'nan;;;;NL0015000A61;;;0;;;WM ;TR1;Indices;;;;;0;
NL0015000A79;29-07-2025;;NL0015000A79;FR;EUENR;Euronext US ESGL 20 EW NR;XPAR;;4201.28;'4185.6;'4185.60426;'nan;;;;NL0015000A61;;;;0;;WM ;TR1;Indices;;;;;0;
NL0015000A61;29-07-2025;;NL0015000A61;FR;EUEPR;Euronext US ESGL 20 EW;XPAR;1018790.13447013;3001.69;'2990.49;'2990.49481942;'3046686619.21;20;USD;1;;NL0015000A87;NL0015000A79;;;;WM ;EU Price;Indices;;;;;0;
NL0013941016;29-07-2025;;NL0013941016;FR;WLESG;EN CDP Environment ESG World EW D5%;XPAR;;1669.00;'1687.64;'1687.63631392;'nan;;;;NL0013940992;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0013941008;29-07-2025;;NL0013941008;FR;WESGG;EN CDP Environment ESG World EW GR;XPAR;;5078.65;'5136.04;'5136.03794586;'nan;;;;NL0013940984;;;0;;;ECB;TR1;Indices;;;;;0;
NL0013940992;29-07-2025;;NL0013940992;FR;WESGN;EN CDP Environment ESG World EW NR;XPAR;;4444.76;'4494.99;'4494.99020193;'nan;;;;NL0013940984;;;;0;;ECB;TR1;Indices;;;;;0;
NL0013940984;29-07-2025;;NL0013940984;FR;WESGP;EN CDP Environment ESG World EW;XPAR;1005038.89921704;2865.49;'2897.87;'2897.87416264;'2912476258.48663;40;EUR;1;;NL0013941008;NL0013940992;;;;ECB;EU Price;Indices;;;;;0;
NL0013908809;29-07-2025;;NL0013908809;FR;ESGTL;EN Transatlantic ESG Leaders 60 EW D 5%;XPAR;;1677.15;'1688.56;'1688.56479044;'nan;;;;NL0013908783;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0013908791;29-07-2025;;NL0013908791;FR;ESGTG;EN Transatlantic ESG Leaders 60 EW GR;XPAR;;5224.67;'5260.95;'5260.95012397;'nan;;;;NL0013908775;;;0;;;ECB;TR1;Indices;;;;;0;
NL0013908783;29-07-2025;;NL0013908783;FR;ESGTN;EN Transatlantic ESG Leaders 60 EW NR;XPAR;;4466.38;'4497.39;'4497.39334875;'nan;;;;NL0013908775;;;;0;;ECB;TR1;Indices;;;;;0;
NL0013908775;29-07-2025;;NL0013908775;FR;ESGTP;EN Transatlantic ESG Leaders 60 EW;XPAR;1020867.76220316;2834.41;'2854.09;'2854.09295291;'2913651485.96127;60;EUR;1;;NL0013908791;NL0013908783;;;;ECB;EU Price;Indices;;;;;0;
NL0013352636;29-07-2025;;NL0013352636;NL;WLENV;Euronext CDP Environment World EW D5%;XAMS;;1854.19;'1871.65;'1871.64588406;'nan;;;;NL0013352610;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;
NL0013352628;29-07-2025;;NL0013352628;NL;WLENG;Euronext CDP Environment World EW GR;XAMS;;5648.47;'5702.41;'5702.41482572;'nan;;;;NL0013352602;;;0;;;ECB;TR1;Indices;;;;;0;
NL0013352610;29-07-2025;;NL0013352610;NL;WLENN;Euronext CDP Environment World EW NR;XAMS;;4937.83;'4984.99;'4984.98700382;'nan;;;;NL0013352602;;;;0;;ECB;TR1;Indices;;;;;0;
NL0013352602;29-07-2025;;NL0013352602;NL;WLENP;Euronext CDP Environment World EW;XAMS;1013891.13676789;3179.01;'3209.37;'3209.37003096;'3253951828.99716;40;EUR;1;;NL0013352628;NL0013352610;;;;ECB;EU Price;Indices;;;;;0;
