#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
WLSNc.AS;29-07-25;;NL0000395903;NL;WKL;WOLTERS KLUWER;XAMS;50205020;135.65;135.65;0;0;ENVB;596;1;1;EUR;1;1;80847.4;4.03468;;;;;0;0;;
WDPP.BR;29-07-25;;BE0974349814;BE;WDP;WDP;XBRU;35102020;20.58;20.58;0;0;ENVB;4901;1;1;EUR;1;1;100862.58;5.03353;;;;;0;0;;
UMG.AS;29-07-25;;NL0015000IY2;NL;UMG;UMG;XAMS;40301010;25.41;25.41;0;0;ENVB;3855;1;1;EUR;1;1;97955.55;4.88846;;;;;0;0;;
UCB.BR;29-07-25;;BE0003739530;BE;UCB;UCB;XBRU;20103015;185.05;185.05;0;0;ENVB;457;1;1;EUR;1;1;84567.85;4.22035;;;;;0;0;;
SOF.BR;29-07-25;;BE0003717312;BE;SOF;SOFINA;XBRU;30202010;272;272;0;0;ENVB;367;1;1;EUR;1;1;99824;4.9817;;;;;0;0;;
REL.AS;29-07-25;;GB00B2B0DG97;NL;REN;RELX;XAMS;10101010;45.2;45.2;0;0;ENVB;2875;1;1;EUR;1;1;129950;6.48514;;;;;0;0;;
RAND.AS;29-07-25;;NL0000379121;NL;RAND;RANDSTAD NV;XAMS;50205025;42.65;42.65;0;0;ENVB;3435;1;1;EUR;1;1;146502.75;7.3112;;;;;0;0;;
KBC.BR;29-07-25;;BE0003565737;BE;KBC;KBC;XBRU;30101010;91.4;91.4;0;0;ENVB;1031;1;1;EUR;1;1;94233.4;4.70271;;;;;0;0;;
INGA.AS;29-07-25;;NL0011821202;NL;INGA;ING GROEP N.V.;XAMS;30101010;20.405;20.405;0;0;ENVB;4040;1;1;EUR;1;1;82436.2;4.11397;;;;;0;0;;
IMCD.AS;29-07-25;;NL0010801007;NL;IMCD;IMCD;XAMS;55201020;111.6;111.6;0;0;ENVB;724;1;1;EUR;1;1;80798.4;4.03223;;;;;0;0;;
IETB.BR;29-07-25;;BE0974259880;BE;DIE;D'IETEREN GROUP;XBRU;40101010;177;177;0;0;ENVB;490;1;1;EUR;1;1;86730;4.32825;;;;;0;0;;
GBLB.BR;29-07-25;;BE0003797140;BE;GBLB;GBL;XBRU;30202000;75.95;75.95;0;0;ENVB;1644;1;1;EUR;1;1;124861.8;6.23121;;;;;0;0;;
ELI.BR;29-07-25;;BE0003822393;BE;ELI;ELIA GROUP;XBRU;65101015;103.2;103.2;0;0;ENVB;736;1;1;EUR;1;1;75955.2;3.79053;;;;;0;0;;
