#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011256193;29-07-25;;QS0011256193;NL;ENVG;Euronext Sustainable US 50 GR;XAMS;;5649.5;5702.18;5702.177963;;;;;QS0011256169;;;0;;;WM ;TR1;Indices;;;;;0;
QS0011256185;29-07-25;;QS0011256185;NL;ENVN;Euronext Sustainable US 50 NR;XAMS;;5061.92;5109.12;5109.120741;;;;;QS0011256169;;;;0;;WM ;TR1;Indices;;;;;0;
QS0011256169;29-07-25;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;838.96001;3888.5;3924.75;3924.750966;3292709.11;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250865;29-07-25;;QS0011250865;NL;ENVWG;Euronext Sustainable World 120 GR;XAMS;;3485.84;3475.47;3475.46642;;;;;QS0011250840;;;0;;;WM ;TR1;Indices;;;;;0;
QS0011250857;29-07-25;;QS0011250857;NL;ENVWN;Euronext Sustainable World 120 NR;XAMS;;3124.81;3115.52;3115.516663;;;;;QS0011250840;;;;0;;WM ;TR1;Indices;;;;;0;
QS0011250840;29-07-25;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;856.5205867;2145.85;2139.47;2139.465823;1832496.522;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
NL0015436130;29-07-25;;NL0015436130;NL;NA5GR;Euronext North America 500 GR;XAMS;;7531.41;7581.25;7581.251145;;;;;NL0015436114;;;0.022685018;;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015436122;29-07-25;;NL0015436122;NL;NA5NR;Euronext North America 500 NR;XAMS;;6704.61;6748.97;6748.97243;;;;;NL0015436114;;;;0.015879512;US3119001044;ECB;TR1;Indices;;;;;0;
NL0015436114;29-07-25;;NL0015436114;NL;NA500;Euronext North America 500;XAMS;9546920810;5053.88;5087.3;5087.303386;4.85681E+13;499;EUR;1;;NL0015436130;NL0015436122;;;;ECB;EU Price;Indices;;;;;0;
NL0015000I97;29-07-25;;NL0015000I97;NL;ENWG;Euronext World GR;XAMS;;5411.71;5442.14;5442.140946;;;;;NL0015000IB0;;;0.011077693;;US3119001044;ECB;TR1;Indices;;;;;0;
